id,name,position,team_id,market_value,market_variation,date
133609,Pedri,3.0,529,176911161.0,2954525.0,2026-03-10
2278,Marcos Alonso,2.0,538,61640409.0,1872199.0,2026-03-10
47085,Luis Milla,3.0,546,131353854.0,1707148.0,2026-03-10
1271,Tchouaméni,3.0,541,78019964.0,1456992.0,2026-03-10
619,Eric García,2.0,529,112028905.0,1426902.0,2026-03-10
291964,Arda Guler,3.0,541,131444869.0,1262135.0,2026-03-10
50048,Muriqi,4.0,798,53872571.0,1080309.0,2026-03-10
47258,Arambarri,3.0,546,41160970.0,1054390.0,2026-03-10
1703,Ratiu,2.0,728,56794529.0,895077.0,2026-03-10
762,Vinicius Jr.,4.0,541,171892491.0,890071.0,2026-03-10
20696,Pape Gueye,3.0,533,22935816.0,874802.0,2026-03-10
47323,Oyarzabal,4.0,548,96459346.0,783676.0,2026-03-10
855,João Cancelo,2.0,529,25552353.0,709163.0,2026-03-10
756,Valverde,3.0,541,145206273.0,705466.0,2026-03-10
47541,Comesaña,3.0,533,21801696.0,692661.0,2026-03-10
396623,Pau Cubarsí,2.0,529,53046838.0,657489.0,2026-03-10
3246,N. Pépé,4.0,533,40220485.0,646494.0,2026-03-10
128582,De Frutos,4.0,728,40716515.0,626732.0,2026-03-10
930,Carlos Soler,3.0,548,15879768.0,564159.0,2026-03-10
181701,Gerard Martín,2.0,529,14317695.0,532900.0,2026-03-10
18895,Lejeune,2.0,728,50803736.0,524623.0,2026-03-10
47348,Borja Iglesias,4.0,538,24247190.0,424831.0,2026-03-10
46746,Budimir,4.0,727,41375046.0,421026.0,2026-03-10
8492,Sørloth,4.0,530,15532329.0,414743.0,2026-03-10
184420,Carlos Romero,2.0,540,40968942.0,334031.0,2026-03-10
181421,Ez Abde,4.0,543,100726387.0,303544.0,2026-03-10
340626,Fermín,3.0,529,172199119.0,299259.0,2026-03-10
2285,Rudiger,2.0,541,20114612.0,286848.0,2026-03-10
341640,Raúl Asencio,2.0,541,23661129.0,286502.0,2026-03-10
47582,Cucho,4.0,543,79575898.0,275279.0,2026-03-10
336594,Barrios,3.0,530,39321903.0,272490.0,2026-03-10
182718,Joan García,1.0,529,68657466.0,241788.0,2026-03-10
182519,Moleiro,3.0,533,121338556.0,226475.0,2026-03-10
338751,Víctor Muñoz,4.0,727,18298291.0,219760.0,2026-03-10
311773,Mouriño,2.0,533,7440344.0,213693.0,2026-03-10
51016,T. Buchanan,3.0,533,11584448.0,212659.0,2026-03-10
129678,A. Ounahi,3.0,547,8471594.0,183662.0,2026-03-10
925,Guedes,4.0,548,65602603.0,167255.0,2026-03-10
433396,Marc Bernal,3.0,529,2460280.0,155051.0,2026-03-10
47278,Vivian,2.0,531,8300802.0,144486.0,2026-03-10
622,Laporte,2.0,531,11019207.0,130511.0,2026-03-10
23,Sergio Gómez,2.0,548,10846223.0,124387.0,2026-03-10
47533,Catena,2.0,727,53069931.0,120003.0,2026-03-10
26315,Nico González,3.0,530,4148523.0,117280.0,2026-03-10
47273,Yuri,2.0,531,15056751.0,113658.0,2026-03-10
162012,Ruggeri,2.0,530,3975624.0,113251.0,2026-03-10
31,Giménez,2.0,530,4070682.0,106205.0,2026-03-10
195512,Martin Satriano,4.0,546,4477436.0,101448.0,2026-03-10
30510,Berenguer,4.0,531,12036756.0,86635.0,2026-03-10
180496,G. Mikautadze,4.0,533,29597547.0,85201.0,2026-03-10
6009,Julián A.,4.0,530,90608954.0,73604.0,2026-03-10
47317,Barrenetxea,3.0,548,17931197.0,68662.0,2026-03-10
138776,L. Ramazani,4.0,532,1293287.0,65514.0,2026-03-10
47336,Darder,3.0,798,15111986.0,55546.0,2026-03-10
180927,Zaid Romero,2.0,546,1453636.0,54216.0,2026-03-10
608,L. Boyé,4.0,542,1549407.0,52011.0,2026-03-10
1323,Dani Olmo,3.0,529,94750181.0,50801.0,2026-03-10
315699,Javi Guerra,3.0,532,1729690.0,50314.0,2026-03-10
20,Witsel,3.0,547,1542261.0,48974.0,2026-03-10
119742,Juan Iglesias,2.0,546,1201432.0,36898.0,2026-03-10
531,Daley Blind,2.0,547,4371694.0,35691.0,2026-03-10
957,Sow,3.0,536,931845.0,29314.0,2026-03-10
358431,Nobel Mendy,2.0,728,2926470.0,27957.0,2026-03-10
336711,Gonzalo,4.0,541,4348195.0,27712.0,2026-03-10
56,Griezmann,4.0,530,12174718.0,25171.0,2026-03-10
31406,Sadiq,4.0,532,752248.0,18119.0,2026-03-10
283,Trent,2.0,541,15321958.0,17037.0,2026-03-10
653,Mendy,2.0,541,680735.0,16613.0,2026-03-10
46795,Domingos Duarte,2.0,546,1243312.0,16520.0,2026-03-10
509470,Thiago Pitarch,3.0,541,712623.0,15100.0,2026-03-10
161670,V. Vanat,4.0,547,6184374.0,12828.0,2026-03-10
47250,Djené,2.0,546,2642039.0,12649.0,2026-03-10
47247,David Soria,1.0,546,3973707.0,9990.0,2026-03-10
1902,Caleta-Car,2.0,548,766899.0,9754.0,2026-03-10
296667,Gavi,3.0,529,909246.0,8817.0,2026-03-10
46759,Espino,2.0,728,671076.0,8580.0,2026-03-10
297311,Kike Salas,2.0,536,1648060.0,8288.0,2026-03-10
21701,Rosier,2.0,727,2489954.0,8274.0,2026-03-10
329728,Casadó,3.0,529,909169.0,6467.0,2026-03-10
45,Lemar,3.0,547,1474858.0,5286.0,2026-03-10
57446,Akor Adams,4.0,536,1214059.0,4670.0,2026-03-10
18794,Kiko Femenía,2.0,546,737783.0,3979.0,2026-03-10
411424,Jan Salas,3.0,798,626228.0,3852.0,2026-03-10
631889,Adrián Riquelme,3.0,546,637321.0,3390.0,2026-03-10
439640,B. Sina,3.0,797,638221.0,3353.0,2026-03-10
635179,Álex Sánchez,4.0,797,638221.0,3353.0,2026-03-10
579838,A. Mestanza,3.0,546,644366.0,3096.0,2026-03-10
626497,L. Orejuela,2.0,798,650453.0,2843.0,2026-03-10
623732,Joel Fontanet,2.0,532,650453.0,2843.0,2026-03-10
629089,Jandro García,3.0,798,650453.0,2843.0,2026-03-10
445881,Astiazarán,3.0,548,650453.0,2843.0,2026-03-10
469672,Ibai Aguirre,3.0,548,650453.0,2843.0,2026-03-10
463280,Alassane Diatta,3.0,533,650453.0,2843.0,2026-03-10
548807,Gaitan Diaz,4.0,533,650453.0,2843.0,2026-03-10
371913,Pol Fortuny,3.0,541,651412.0,2803.0,2026-03-10
560930,H. Burcio,3.0,538,651749.0,2789.0,2026-03-10
625636,Jorge Montes,2.0,546,655393.0,2637.0,2026-03-10
601891,Ferri Gomez,3.0,540,655393.0,2637.0,2026-03-10
554287,A. Arcos,4.0,538,656391.0,2595.0,2026-03-10
623902,Aitor Mañas,4.0,542,656391.0,2595.0,2026-03-10
546857,Iker Muñoz,2.0,536,657698.0,2541.0,2026-03-10
386187,Hugo Solozábal,3.0,546,658385.0,2512.0,2026-03-10
626331,Juan Arango,4.0,547,658385.0,2512.0,2026-03-10
560978,Eder Garcia,3.0,531,661037.0,2402.0,2026-03-10
560954,Asier Hierro,4.0,531,661037.0,2402.0,2026-03-10
377257,Endika Bujan,4.0,531,661037.0,2402.0,2026-03-10
560905,Cestero,3.0,541,661902.0,2366.0,2026-03-10
613218,Nil,1.0,798,662393.0,2345.0,2026-03-10
584165,A. Panach,2.0,532,662393.0,2345.0,2026-03-10
600938,Pablo Agudin,3.0,718,662393.0,2345.0,2026-03-10
561063,P. Meixus,2.0,538,662893.0,2325.0,2026-03-10
442058,Álvaro García,2.0,542,662893.0,2325.0,2026-03-10
609740,L. Laso,2.0,546,662893.0,2325.0,2026-03-10
439616,Yassin Tallal,4.0,546,662893.0,2325.0,2026-03-10
429757,Pol Arnau,2.0,547,662893.0,2325.0,2026-03-10
439709,Antonio Salguero,2.0,547,662893.0,2325.0,2026-03-10
161875,Hugo González,3.0,538,662893.0,2325.0,2026-03-10
610174,P. Roson,3.0,539,662893.0,2325.0,2026-03-10
331003,Roberto Arroyo,4.0,727,663225.0,2311.0,2026-03-10
549444,M. Jurado,4.0,532,663270.0,2309.0,2026-03-10
449063,Alex Marchal,4.0,548,663270.0,2309.0,2026-03-10
421044,Íñigo Arguibide,2.0,727,663552.0,2297.0,2026-03-10
349063,Luken Beitia,2.0,548,663840.0,2285.0,2026-03-10
568156,Selton Sánchez,3.0,531,663884.0,2283.0,2026-03-10
391819,Pedroarena,4.0,727,663995.0,2279.0,2026-03-10
543467,Adrian Perez,3.0,531,663995.0,2279.0,2026-03-10
384267,Ibon Sánchez,3.0,531,663995.0,2279.0,2026-03-10
162585,Pol Tristán,1.0,540,664091.0,2275.0,2026-03-10
551463,J. Olaizola,2.0,798,664080.0,2275.0,2026-03-10
330443,Isma Sierra,2.0,533,664080.0,2275.0,2026-03-10
580677,David Delgado,2.0,797,664080.0,2275.0,2026-03-10
381197,Asier Osambela,3.0,727,664085.0,2275.0,2026-03-10
418188,M. Barry,3.0,533,664080.0,2275.0,2026-03-10
393198,Salvador Esquivel,1.0,530,664117.0,2274.0,2026-03-10
450562,Cayetano,1.0,539,664117.0,2274.0,2026-03-10
302277,Rubén Gómez,1.0,533,664117.0,2274.0,2026-03-10
348029,Stamatakis,1.0,727,664112.0,2274.0,2026-03-10
377215,G. Swiderski,1.0,542,664112.0,2274.0,2026-03-10
484474,J. Valou,2.0,533,664117.0,2274.0,2026-03-10
491106,Gibert Jordana,2.0,547,664112.0,2274.0,2026-03-10
407677,Iker Monreal,2.0,531,664116.0,2274.0,2026-03-10
297742,Antoniu Roca,4.0,540,664115.0,2274.0,2026-03-10
443152,Cheli,3.0,718,664112.0,2274.0,2026-03-10
406043,Lucas Nuñez,3.0,532,664108.0,2274.0,2026-03-10
514913,Hugo López,3.0,533,664108.0,2274.0,2026-03-10
478244,Adrián Molina,1.0,728,664120.0,2273.0,2026-03-10
285505,Juanpe,1.0,728,664119.0,2273.0,2026-03-10
451594,Alejandro Monserrate,3.0,530,664120.0,2273.0,2026-03-10
551461,Rubén Montero,1.0,542,664153.0,2272.0,2026-03-10
21584,Ristić,2.0,538,664153.0,2272.0,2026-03-10
335490,Jon de Luis,2.0,531,664155.0,2272.0,2026-03-10
297235,Marc Vilaplana,2.0,546,664155.0,2272.0,2026-03-10
407597,M. Krug,2.0,539,664155.0,2272.0,2026-03-10
504605,Nacho Pérez,2.0,539,664155.0,2272.0,2026-03-10
462277,I. Salhi,2.0,798,664146.0,2272.0,2026-03-10
439633,Samu Becerra,4.0,728,664144.0,2272.0,2026-03-10
429553,Mauro,3.0,727,664147.0,2272.0,2026-03-10
546881,E. Altozano,3.0,536,664155.0,2272.0,2026-03-10
508284,Antonio Martinez,3.0,797,664142.0,2272.0,2026-03-10
406045,Aimar Blázquez,4.0,532,664144.0,2272.0,2026-03-10
432476,Krapyvtsov,1.0,547,664170.0,2271.0,2026-03-10
189832,Marrero,1.0,548,664189.0,2271.0,2026-03-10
308346,Alberto Flores,1.0,536,664176.0,2271.0,2026-03-10
329722,Yoel Lago,2.0,538,664190.0,2271.0,2026-03-10
284415,Yago,4.0,797,664184.0,2271.0,2026-03-10
551460,Alberto Risco,3.0,546,664169.0,2271.0,2026-03-10
