id,name,position,team_id,market_value,market_variation,date
756,Valverde,3.0,541,93016768.0,1337663.0,2026-01-16
182519,Moleiro,3.0,533,119563233.0,1170608.0,2026-01-16
184420,Carlos Romero,2.0,540,48467741.0,1018697.0,2026-01-16
1323,Dani Olmo,3.0,529,42630487.0,1014001.0,2026-01-16
128582,De Frutos,4.0,728,33724248.0,991934.0,2026-01-16
2278,Marcos Alonso,2.0,538,26302995.0,936320.0,2026-01-16
753,Llorente,3.0,530,76949306.0,930311.0,2026-01-16
10009,Rodrygo,4.0,541,47585821.0,897389.0,2026-01-16
46799,Edu Expósito,3.0,540,81674750.0,857944.0,2026-01-16
32862,Take Kubo,3.0,548,31907459.0,850663.0,2026-01-16
619,Eric García,2.0,529,72351507.0,708986.0,2026-01-16
538,De Jong,3.0,529,54982795.0,708462.0,2026-01-16
180496,G. Mikautadze,4.0,533,16981865.0,579998.0,2026-01-16
1257,Koundé,2.0,529,41843387.0,544345.0,2026-01-16
50048,Muriqi,4.0,798,33533116.0,537433.0,2026-01-16
47348,Borja Iglesias,4.0,538,21210736.0,507073.0,2026-01-16
182219,Álex Baena,3.0,530,66843283.0,505758.0,2026-01-16
762,Vinicius Jr.,4.0,541,112273597.0,497439.0,2026-01-16
284300,Carreras,2.0,541,84375309.0,478091.0,2026-01-16
161928,Álex Balde,2.0,529,50651007.0,470400.0,2026-01-16
47249,L. Cabrera,2.0,540,23094733.0,458170.0,2026-01-16
1578,G. Lo Celso,3.0,543,25444927.0,456748.0,2026-01-16
161963,Germán Valera,4.0,797,43703587.0,434408.0,2026-01-16
9971,Antony,4.0,543,106890767.0,419402.0,2026-01-16
323935,Giuliano,4.0,530,56180326.0,418874.0,2026-01-16
340626,Fermín,3.0,529,128248220.0,416933.0,2026-01-16
1697,Fornals,3.0,543,109595126.0,384074.0,2026-01-16
47440,Brais Méndez,3.0,548,29689013.0,378481.0,2026-01-16
1707,Gerard,4.0,533,43745355.0,354677.0,2026-01-16
47258,Arambarri,3.0,546,22107998.0,351677.0,2026-01-16
181701,Gerard Martín,2.0,529,22323803.0,277342.0,2026-01-16
182661,Álvaro Núñez,2.0,797,25491730.0,270854.0,2026-01-16
341640,Raúl Asencio,2.0,541,9102337.0,252356.0,2026-01-16
46711,Aleix Febas,3.0,797,13322872.0,247764.0,2026-01-16
