id,name,position,team_id,market_value,market_variation,date
182519,Moleiro,3.0,533,116858982.0,2048487.0,2026-01-14
756,Valverde,3.0,541,89854127.0,1869733.0,2026-01-14
10009,Rodrygo,4.0,541,45510470.0,1757953.0,2026-01-14
46799,Edu Expósito,3.0,540,79678246.0,1390107.0,2026-01-14
340626,Fermín,3.0,529,126877939.0,1235156.0,2026-01-14
128582,De Frutos,4.0,728,31623654.0,1226756.0,2026-01-14
184420,Carlos Romero,2.0,540,46240282.0,1203093.0,2026-01-14
762,Vinicius Jr.,4.0,541,110217059.0,1156469.0,2026-01-14
1323,Dani Olmo,3.0,529,40654885.0,1077265.0,2026-01-14
619,Eric García,2.0,529,70858784.0,1033371.0,2026-01-14
284300,Carreras,2.0,541,83121967.0,984677.0,2026-01-14
32862,Take Kubo,3.0,548,30131246.0,964577.0,2026-01-14
133609,Pedri,3.0,529,171478809.0,916190.0,2026-01-14
2278,Marcos Alonso,2.0,538,24507555.0,811980.0,2026-01-14
182219,Álex Baena,3.0,530,65500070.0,769765.0,2026-01-14
1257,Koundé,2.0,529,40695523.0,739596.0,2026-01-14
1707,Gerard,4.0,533,42672199.0,721589.0,2026-01-14
538,De Jong,3.0,529,53498178.0,699112.0,2026-01-14
753,Llorente,3.0,530,74976896.0,698846.0,2026-01-14
161928,Álex Balde,2.0,529,49598841.0,645254.0,2026-01-14
180496,G. Mikautadze,4.0,533,15762441.0,636496.0,2026-01-14
47440,Brais Méndez,3.0,548,28864725.0,610591.0,2026-01-14
1271,Tchouaméni,3.0,541,60913127.0,598788.0,2026-01-14
50048,Muriqi,4.0,798,32531458.0,524172.0,2026-01-14
1578,G. Lo Celso,3.0,543,24522520.0,494256.0,2026-01-14
9971,Antony,4.0,543,105916378.0,473528.0,2026-01-14
161963,Germán Valera,4.0,797,42912443.0,460020.0,2026-01-14
47249,L. Cabrera,2.0,540,22094337.0,441422.0,2026-01-14
18895,Lejeune,2.0,728,42136609.0,436408.0,2026-01-14
47348,Borja Iglesias,4.0,538,20241962.0,435895.0,2026-01-14
182718,Joan García,1.0,529,68376334.0,337530.0,2026-01-14
47258,Arambarri,3.0,546,21461854.0,305821.0,2026-01-14
341640,Raúl Asencio,2.0,541,8577046.0,276678.0,2026-01-14
46711,Aleix Febas,3.0,797,12869959.0,240400.0,2026-01-14
396623,Pau Cubarsí,2.0,529,41019568.0,230010.0,2026-01-14
2207,Camavinga,3.0,541,22768581.0,220567.0,2026-01-14
181701,Gerard Martín,2.0,529,21824332.0,212973.0,2026-01-14
46658,Rubén García,3.0,727,9658034.0,208416.0,2026-01-14
182661,Álvaro Núñez,2.0,797,24984447.0,194681.0,2026-01-14
295793,Marc Pubill,2.0,530,6001175.0,180270.0,2026-01-14
730,Courtois,1.0,541,50115677.0,153299.0,2026-01-14
2182,Tsygankov,4.0,547,6093636.0,148712.0,2026-01-14
30765,I. Radu,1.0,538,11941650.0,138034.0,2026-01-14
131546,Isi,4.0,728,9532838.0,129976.0,2026-01-14
733,Carvajal,2.0,541,4136495.0,119583.0,2026-01-14
47543,Álvaro García,3.0,728,17537867.0,119038.0,2026-01-14
1697,Fornals,3.0,543,108805132.0,110391.0,2026-01-14
336711,Gonzalo,4.0,541,2218242.0,96942.0,2026-01-14
47463,Pepelu,3.0,532,2803005.0,87754.0,2026-01-14
271580,Martim Neto,3.0,797,2521605.0,87573.0,2026-01-14
8492,Sørloth,4.0,530,6411619.0,84281.0,2026-01-14
414359,Vitor Reis,2.0,547,2707862.0,64251.0,2026-01-14
273732,T. Dolan,4.0,540,4801614.0,61029.0,2026-01-14
312990,Roberto Fernández,4.0,540,11753023.0,58248.0,2026-01-14
47988,Starfelt,2.0,538,2882935.0,57977.0,2026-01-14
47478,Fernando Calero,2.0,540,2819581.0,55477.0,2026-01-14
161670,V. Vanat,4.0,547,2484645.0,53051.0,2026-01-14
47566,Javi Galán,2.0,727,1173407.0,50077.0,2026-01-14
286639,Bryan Zaragoza,4.0,538,3898152.0,47013.0,2026-01-14
311773,Mouriño,2.0,533,10002202.0,43570.0,2026-01-14
1702,Pedraza,2.0,533,1618018.0,40326.0,2026-01-14
930,Carlos Soler,3.0,548,9931399.0,29358.0,2026-01-14
333502,Miguel Román,3.0,538,759066.0,27617.0,2026-01-14
3246,N. Pépé,4.0,533,27560576.0,22643.0,2026-01-14
343202,Á. Rodríguez,4.0,797,3120168.0,20800.0,2026-01-14
23,Sergio Gómez,2.0,548,5445319.0,19511.0,2026-01-14
266202,I. Chaira,4.0,718,662226.0,19368.0,2026-01-14
925,Guedes,4.0,548,20739787.0,19137.0,2026-01-14
162712,Mingueza,2.0,538,4909851.0,19136.0,2026-01-14
47119,Aitor Ruibal,2.0,543,1226783.0,17192.0,2026-01-14
21701,Rosier,2.0,727,3800233.0,16420.0,2026-01-14
187214,C. Vicente,4.0,542,9319378.0,15298.0,2026-01-14
283668,Arnau,2.0,547,1326741.0,14920.0,2026-01-14
47547,Álex Moreno,2.0,547,865454.0,12644.0,2026-01-14
531,Daley Blind,2.0,547,1112397.0,7356.0,2026-01-14
31406,Sadiq,4.0,532,639894.0,6910.0,2026-01-14
734,Dela,2.0,539,598468.0,5216.0,2026-01-14
47429,David Costas,2.0,718,711352.0,4668.0,2026-01-14
2741,M. Ryan,1.0,539,1741816.0,3871.0,2026-01-14
183699,Urko,2.0,540,663202.0,3179.0,2026-01-14
600938,Pablo Agudin,3.0,718,569483.0,1990.0,2026-01-14
1700,Iván Martín,3.0,547,2291807.0,1802.0,2026-01-14
421044,Íñigo Arguibide,2.0,727,580442.0,1533.0,2026-01-14
568156,Selton Sánchez,3.0,531,583557.0,1403.0,2026-01-14
543466,Ibon Sánchez,3.0,531,584614.0,1359.0,2026-01-14
337843,Fraga,1.0,548,585401.0,1326.0,2026-01-14
381197,Asier Osambela,3.0,727,585463.0,1324.0,2026-01-14
162585,Pol Tristán,1.0,540,585517.0,1322.0,2026-01-14
297742,Antoniu Roca,4.0,540,585746.0,1312.0,2026-01-14
309364,Coba,3.0,546,585950.0,1304.0,2026-01-14
47407,A. Nyom,2.0,546,585997.0,1302.0,2026-01-14
439633,Samu Becerra,4.0,728,586013.0,1301.0,2026-01-14
21584,Ristić,2.0,538,586123.0,1296.0,2026-01-14
353803,Mawuli Mensah,3.0,543,586257.0,1291.0,2026-01-14
411702,Pau Cabanes,4.0,533,586260.0,1291.0,2026-01-14
432476,Krapyvtsov,1.0,547,586272.0,1290.0,2026-01-14
445973,Toni Fernández,4.0,529,586265.0,1290.0,2026-01-14
308346,Alberto Flores,1.0,536,586338.0,1287.0,2026-01-14
284415,Yago,4.0,797,586386.0,1285.0,2026-01-14
189832,Marrero,1.0,548,586433.0,1283.0,2026-01-14
329722,Yoel Lago,2.0,538,586454.0,1283.0,2026-01-14
46987,Raúl Fernández,1.0,542,586492.0,1281.0,2026-01-14
104832,Diego Pampín,2.0,539,586509.0,1280.0,2026-01-14
19613,Ovie Ejaria,3.0,718,586509.0,1280.0,2026-01-14
315604,Alejandro Iturbe,1.0,797,586529.0,1279.0,2026-01-14
184194,Álex Forés,4.0,718,586551.0,1279.0,2026-01-14
156488,Cárdenas,1.0,728,586563.0,1278.0,2026-01-14
913,Cristian Rivero,1.0,532,586583.0,1277.0,2026-01-14
491250,Jofre Torrents,2.0,529,586584.0,1277.0,2026-01-14
509470,Thiago Pitarch,3.0,541,586631.0,1275.0,2026-01-14
8746,Bambo Diaby,2.0,797,586768.0,1270.0,2026-01-14
402580,Marco Esteban,2.0,718,586753.0,1270.0,2026-01-14
66491,Letacek,1.0,546,586895.0,1264.0,2026-01-14
293604,Javi Llabrés,4.0,798,586905.0,1264.0,2026-01-14
336998,Adama,2.0,531,586987.0,1260.0,2026-01-14
385405,Omar Falah,2.0,718,587003.0,1260.0,2026-01-14
331607,Manu Bueno,3.0,536,587003.0,1260.0,2026-01-14
