id,name,position,team_id,market_value,market_variation,date
1697,Fornals,3.0,543,119942223.0,2126302.0,2026-01-22
291964,Arda Guler,3.0,541,77304380.0,1923894.0,2026-01-22
756,Valverde,3.0,541,102920946.0,1546772.0,2026-01-22
9971,Antony,4.0,543,114234495.0,1211478.0,2026-01-22
336594,Barrios,3.0,530,63122078.0,1185758.0,2026-01-22
762,Vinicius Jr.,4.0,541,116101265.0,1092841.0,2026-01-22
2278,Marcos Alonso,2.0,538,32039862.0,1086074.0,2026-01-22
1323,Dani Olmo,3.0,529,48427891.0,1069026.0,2026-01-22
753,Llorente,3.0,530,83355154.0,1055832.0,2026-01-22
161963,Germán Valera,4.0,797,47497395.0,998457.0,2026-01-22
1578,G. Lo Celso,3.0,543,29782958.0,955202.0,2026-01-22
925,Guedes,4.0,548,24446064.0,951110.0,2026-01-22
181421,Ez Abde,4.0,543,34642932.0,923433.0,2026-01-22
50048,Muriqi,4.0,798,38996709.0,911047.0,2026-01-22
195100,Natan,2.0,543,47345771.0,909136.0,2026-01-22
340626,Fermín,3.0,529,134898472.0,883157.0,2026-01-22
183799,Nico Williams,4.0,531,71395300.0,784170.0,2026-01-22
47323,Oyarzabal,4.0,548,65343043.0,757968.0,2026-01-22
538,De Jong,3.0,529,59197058.0,739659.0,2026-01-22
1561,Bartra,2.0,543,36629731.0,662346.0,2026-01-22
30399,D. Hancko,2.0,530,31322567.0,637971.0,2026-01-22
128582,De Frutos,4.0,728,38660522.0,573830.0,2026-01-22
184420,Carlos Romero,2.0,540,52102064.0,556135.0,2026-01-22
619,Eric García,2.0,529,76825293.0,555531.0,2026-01-22
341640,Raúl Asencio,2.0,541,12364797.0,539716.0,2026-01-22
284300,Carreras,2.0,541,88665255.0,495195.0,2026-01-22
361497,Huijsen,2.0,541,50587513.0,401300.0,2026-01-22
46746,Budimir,4.0,727,19537527.0,362509.0,2026-01-22
323935,Giuliano,4.0,530,58782180.0,357477.0,2026-01-22
46658,Rubén García,3.0,727,11872177.0,341994.0,2026-01-22
47249,L. Cabrera,2.0,540,24741078.0,298230.0,2026-01-22
46711,Aleix Febas,3.0,797,14588157.0,297176.0,2026-01-22
20696,Pape Gueye,3.0,533,10799019.0,275410.0,2026-01-22
295793,Marc Pubill,2.0,530,7472231.0,239544.0,2026-01-22
8492,Sørloth,4.0,530,7516457.0,232782.0,2026-01-22
378284,Etta Eyong,4.0,539,27932171.0,211522.0,2026-01-22
521,Lewandowski,4.0,529,53170409.0,207263.0,2026-01-22
161670,V. Vanat,4.0,547,3587456.0,196383.0,2026-01-22
1257,Koundé,2.0,529,44337754.0,187820.0,2026-01-22
187214,C. Vicente,4.0,542,10185290.0,178522.0,2026-01-22
286639,Bryan Zaragoza,4.0,538,4669619.0,168815.0,2026-01-22
47440,Brais Méndez,3.0,548,31153037.0,167453.0,2026-01-22
30765,I. Radu,1.0,538,13333854.0,166172.0,2026-01-22
180496,G. Mikautadze,4.0,533,19132375.0,162645.0,2026-01-22
414359,Vitor Reis,2.0,547,3557377.0,139988.0,2026-01-22
47463,Pepelu,3.0,532,3588163.0,139480.0,2026-01-22
10009,Rodrygo,4.0,541,47492632.0,138531.0,2026-01-22
271580,Martim Neto,3.0,797,3224348.0,137424.0,2026-01-22
47336,Darder,3.0,798,10034681.0,121528.0,2026-01-22
162712,Mingueza,2.0,538,5543352.0,100072.0,2026-01-22
47988,Starfelt,2.0,538,3551563.0,95480.0,2026-01-22
47119,Aitor Ruibal,2.0,543,1654445.0,88577.0,2026-01-22
127,Ter Stegen,1.0,547,891533.0,85483.0,2026-01-22
449249,Franco,4.0,541,5617202.0,84313.0,2026-01-22
2182,Tsygankov,4.0,547,6969017.0,82699.0,2026-01-22
531,Daley Blind,2.0,547,1478270.0,78633.0,2026-01-22
23,Sergio Gómez,2.0,548,5714278.0,76217.0,2026-01-22
279822,F. Boyomo,2.0,727,8167320.0,75429.0,2026-01-22
162012,Ruggeri,2.0,530,3048122.0,75027.0,2026-01-22
47566,Javi Galán,2.0,727,1685291.0,72875.0,2026-01-22
47547,Álex Moreno,2.0,547,1203041.0,67842.0,2026-01-22
1700,Iván Martín,3.0,547,2531769.0,54392.0,2026-01-22
336711,Gonzalo,4.0,541,3163173.0,50629.0,2026-01-22
46933,Rioja,3.0,532,8917367.0,44960.0,2026-01-22
396623,Pau Cubarsí,2.0,529,43104390.0,43018.0,2026-01-22
157988,Carreira,2.0,538,1465388.0,42805.0,2026-01-22
57446,Akor Adams,4.0,536,826154.0,38535.0,2026-01-22
338751,Víctor Muñoz,4.0,727,7787090.0,36441.0,2026-01-22
47478,Fernando Calero,2.0,540,3279038.0,36301.0,2026-01-22
179955,Javi Rueda,2.0,538,3516027.0,33293.0,2026-01-22
1702,Pedraza,2.0,533,1917473.0,33146.0,2026-01-22
2207,Camavinga,3.0,541,22869241.0,28315.0,2026-01-22
47341,Marc Roca,3.0,543,1392916.0,28255.0,2026-01-22
45,Lemar,3.0,547,718468.0,27963.0,2026-01-22
733,Carvajal,2.0,541,4876746.0,27840.0,2026-01-22
129678,A. Ounahi,3.0,547,7098002.0,25872.0,2026-01-22
2061,Bryan Gil,4.0,547,1659812.0,25347.0,2026-01-22
278,Mbappé,4.0,541,155566267.0,21270.0,2026-01-22
744,Brahim,3.0,541,1974433.0,17695.0,2026-01-22
133185,Johnny Cardoso,3.0,530,1407917.0,15687.0,2026-01-22
162123,I. Moriba,3.0,538,1142616.0,14654.0,2026-01-22
47314,Zubeldia,2.0,548,2954624.0,12910.0,2026-01-22
187318,Aguado,3.0,797,946856.0,11798.0,2026-01-22
2741,M. Ryan,1.0,539,1817007.0,10974.0,2026-01-22
46990,Valles,1.0,543,3089138.0,10846.0,2026-01-22
