id,name,position,team_id,market_value,market_variation,date
756,Valverde,3.0,541,95822453.0,1589372.0,2026-01-18
340626,Fermín,3.0,529,130664371.0,1555759.0,2026-01-18
1697,Fornals,3.0,543,111208938.0,1180830.0,2026-01-18
182519,Moleiro,3.0,533,121341981.0,1123122.0,2026-01-18
9971,Antony,4.0,543,108535018.0,1069179.0,2026-01-18
619,Eric García,2.0,529,74171497.0,1047729.0,2026-01-18
128582,De Frutos,4.0,728,35851539.0,1035803.0,2026-01-18
753,Llorente,3.0,530,78650043.0,994470.0,2026-01-18
2278,Marcos Alonso,2.0,538,27983136.0,896532.0,2026-01-18
32862,Take Kubo,3.0,548,33583434.0,883905.0,2026-01-18
1323,Dani Olmo,3.0,529,44313748.0,868777.0,2026-01-18
538,De Jong,3.0,529,56526904.0,865011.0,2026-01-18
762,Vinicius Jr.,4.0,541,113940406.0,786302.0,2026-01-18
50048,Muriqi,4.0,798,34699575.0,723533.0,2026-01-18
1707,Gerard,4.0,533,45071520.0,661048.0,2026-01-18
284300,Carreras,2.0,541,85242564.0,645221.0,2026-01-18
180496,G. Mikautadze,4.0,533,18194896.0,603158.0,2026-01-18
184420,Carlos Romero,2.0,540,50004309.0,597074.0,2026-01-18
182219,Álex Baena,3.0,530,68026958.0,558946.0,2026-01-18
323935,Giuliano,4.0,530,57233734.0,557191.0,2026-01-18
161928,Álex Balde,2.0,529,51407383.0,555347.0,2026-01-18
1257,Koundé,2.0,529,42906142.0,554391.0,2026-01-18
161963,Germán Valera,4.0,797,44850262.0,457938.0,2026-01-18
182718,Joan García,1.0,529,69414673.0,451334.0,2026-01-18
1578,G. Lo Celso,3.0,543,26349103.0,447521.0,2026-01-18
396623,Pau Cubarsí,2.0,529,42345079.0,399811.0,2026-01-18
47348,Borja Iglesias,4.0,538,22107263.0,386349.0,2026-01-18
341640,Raúl Asencio,2.0,541,9779102.0,380222.0,2026-01-18
181701,Gerard Martín,2.0,529,22886965.0,347623.0,2026-01-18
47440,Brais Méndez,3.0,548,30320699.0,327470.0,2026-01-18
46799,Edu Expósito,3.0,540,82901897.0,299743.0,2026-01-18
18895,Lejeune,2.0,728,43215519.0,271971.0,2026-01-18
47249,L. Cabrera,2.0,540,23842545.0,254358.0,2026-01-18
30765,I. Radu,1.0,538,12651968.0,194309.0,2026-01-18
46711,Aleix Febas,3.0,797,13639310.0,165777.0,2026-01-18
181421,Ez Abde,4.0,543,31450241.0,162566.0,2026-01-18
161670,V. Vanat,4.0,547,2820438.0,161234.0,2026-01-18
336711,Gonzalo,4.0,541,2849704.0,150551.0,2026-01-18
925,Guedes,4.0,548,21187215.0,149569.0,2026-01-18
378284,Etta Eyong,4.0,539,27365342.0,147377.0,2026-01-18
47543,Álvaro García,3.0,728,18192050.0,127332.0,2026-01-18
47258,Arambarri,3.0,546,22542665.0,118387.0,2026-01-18
46658,Rubén García,3.0,727,10410324.0,109313.0,2026-01-18
733,Carvajal,2.0,541,4701268.0,107094.0,2026-01-18
414359,Vitor Reis,2.0,547,2992068.0,94824.0,2026-01-18
2182,Tsygankov,4.0,547,6622658.0,92682.0,2026-01-18
131546,Isi,4.0,728,10030402.0,91091.0,2026-01-18
295793,Marc Pubill,2.0,530,6628621.0,88515.0,2026-01-18
2207,Camavinga,3.0,541,23422994.0,74495.0,2026-01-18
336594,Barrios,3.0,530,58599185.0,71875.0,2026-01-18
30399,D. Hancko,2.0,530,29004587.0,66822.0,2026-01-18
187214,C. Vicente,4.0,542,9533590.0,58953.0,2026-01-18
271580,Martim Neto,3.0,797,2832953.0,58460.0,2026-01-18
47463,Pepelu,3.0,532,3097996.0,49100.0,2026-01-18
47478,Fernando Calero,2.0,540,3080732.0,44044.0,2026-01-18
47988,Starfelt,2.0,538,3174323.0,42366.0,2026-01-18
50,Koke,3.0,530,22529463.0,42346.0,2026-01-18
531,Daley Blind,2.0,547,1195099.0,42129.0,2026-01-18
127,Ter Stegen,1.0,547,663669.0,37546.0,2026-01-18
47566,Javi Galán,2.0,727,1408238.0,34187.0,2026-01-18
162712,Mingueza,2.0,538,5165534.0,32452.0,2026-01-18
47547,Álex Moreno,2.0,547,949574.0,31047.0,2026-01-18
133609,Pedri,3.0,529,171502743.0,24051.0,2026-01-18
8492,Sørloth,4.0,530,6730893.0,22402.0,2026-01-18
930,Carlos Soler,3.0,548,10038455.0,19366.0,2026-01-18
1702,Pedraza,2.0,533,1765283.0,18559.0,2026-01-18
286639,Bryan Zaragoza,4.0,538,4100996.0,18447.0,2026-01-18
23,Sergio Gómez,2.0,548,5529706.0,17689.0,2026-01-18
333502,Miguel Román,3.0,538,876598.0,17263.0,2026-01-18
1700,Iván Martín,3.0,547,2353524.0,17110.0,2026-01-18
31406,Sadiq,4.0,532,686979.0,15981.0,2026-01-18
744,Brahim,3.0,541,1903180.0,14448.0,2026-01-18
266202,I. Chaira,4.0,718,739267.0,12409.0,2026-01-18
2061,Bryan Gil,4.0,547,1547891.0,10701.0,2026-01-18
45,Lemar,3.0,547,628367.0,10335.0,2026-01-18
47119,Aitor Ruibal,2.0,543,1320969.0,9241.0,2026-01-18
2741,M. Ryan,1.0,539,1771653.0,7056.0,2026-01-18
343202,Á. Rodríguez,4.0,797,3234438.0,6182.0,2026-01-18
600938,Pablo Agudin,3.0,718,576074.0,3704.0,2026-01-18
129678,A. Ounahi,3.0,547,6951478.0,3445.0,2026-01-18
421044,Íñigo Arguibide,2.0,727,585382.0,3316.0,2026-01-18
568156,Selton Sánchez,3.0,531,588028.0,3206.0,2026-01-18
543466,Ibon Sánchez,3.0,531,588926.0,3169.0,2026-01-18
381197,Asier Osambela,3.0,727,589647.0,3139.0,2026-01-18
162585,Pol Tristán,1.0,540,589693.0,3137.0,2026-01-18
297742,Antoniu Roca,4.0,540,589888.0,3129.0,2026-01-18
309364,Coba,3.0,546,590061.0,3121.0,2026-01-18
