split,n_train,n_test,mae,mae_pct,rmse,r2,inicio_train,fin_train,fin_test
train_2025-07-02_2025-09-30,37394,17330,28916.218251061862,0.4087561435309612,89139.21424397256,0.9207884142457518,2025-07-02,2025-09-30,2025-10-30
train_2025-08-01_2025-10-30,46625,18035,27514.000173070657,0.35715494740605613,92844.49731377646,0.9158782242606366,2025-08-01,2025-10-30,2025-11-29
train_2025-08-31_2025-11-29,51873,18208,28570.234362862833,0.3662947825541372,104737.8630911145,0.9114949010537442,2025-08-31,2025-11-29,2025-12-29
train_2025-09-30_2025-12-29,53573,17923,26799.72307095909,0.3002212060487049,100876.29975500568,0.889301549554349,2025-09-30,2025-12-29,2026-01-28
