split,n_train,n_test,mae,mae_pct,rmse,r2,mes_test
train_hasta_2025-09_test_2025-10,21954,16564,39346.66895720525,0.6665359565739878,115262.32682136835,0.8876966327400315,2025-09
train_hasta_2025-10_test_2025-11,38518,17967,30436.994245592683,0.40326810481792075,93305.82794752921,0.9111011640913271,2025-10
train_hasta_2025-11_test_2025-12,56485,18095,28517.823243391842,0.35633308259879465,98158.14366714994,0.9119118179823988,2025-11
train_hasta_2025-12_test_2026-01,74580,18802,26512.960403394718,0.38941365737159117,95685.85490019394,0.9190853567036665,2025-12
train_hasta_2026-01_test_2026-02,93382,18423,27475.963861468044,0.3427236642599649,101503.35579287416,0.8934972691310645,2026-01
