id,name,team_id,points,position,market_value,variation,jornada,season,date
730,Courtois,541,10,1.0,48865480.0,-162129.0,20,2025,2026-01-23
2207,Camavinga,541,2,3.0,23172617.0,303376.0,20,2025,2026-01-23
1271,Tchouaméni,541,5,3.0,54407502.0,-1218780.0,20,2025,2026-01-23
291964,Arda Guler,541,11,3.0,79227718.0,1923338.0,20,2025,2026-01-23
341640,Raúl Asencio,541,16,2.0,12686371.0,321574.0,20,2025,2026-01-23
733,Carvajal,541,0,2.0,4914382.0,37636.0,20,2025,2026-01-23
505,Alaba,541,2,2.0,601824.0,-1631.0,20,2025,2026-01-23
736,Fran García,541,0,2.0,641968.0,-3304.0,20,2025,2026-01-23
756,Valverde,541,8,3.0,104344352.0,1423406.0,20,2025,2026-01-23
748,Ceballos,541,3,3.0,664572.0,-4246.0,20,2025,2026-01-23
129718,Bellingham,541,7,3.0,123889966.0,-30330.0,20,2025,2026-01-23
762,Vinicius Jr.,541,5,4.0,117872917.0,1771652.0,20,2025,2026-01-23
278,Mbappé,541,14,4.0,155228380.0,-337887.0,20,2025,2026-01-23
361497,Huijsen,541,8,2.0,51187175.0,599662.0,20,2025,2026-01-23
284300,Carreras,541,10,2.0,89213239.0,547984.0,20,2025,2026-01-23
336711,Gonzalo,541,0,4.0,3213594.0,50421.0,20,2025,2026-01-23
396475,Fran González,541,0,1.0,588729.0,-1086.0,20,2025,2026-01-23
449249,Franco,541,4,4.0,5773869.0,156667.0,20,2025,2026-01-23
0,Mestre,541,0,1.0,0.0,0.0,20,2025,2026-01-23
0,D. Jiménez,541,0,2.0,0.0,0.0,20,2025,2026-01-23
0,Cestero,541,0,3.0,0.0,0.0,20,2025,2026-01-23
0,Palacios,541,0,3.0,0.0,0.0,20,2025,2026-01-23
734,Dela,539,1,2.0,639031.0,6380.0,20,2025,2026-01-23
192032,Iván Romero,539,3,4.0,2693107.0,-15012.0,20,2025,2026-01-23
104949,Pablo Martínez,539,3,3.0,609571.0,-1954.0,20,2025,2026-01-23
182603,Olasagasti,539,2,3.0,590035.0,-1140.0,20,2025,2026-01-23
182639,Unai Vencedor,539,1,3.0,590694.0,-1168.0,20,2025,2026-01-23
182770,Carlos Álvarez,539,4,3.0,6497734.0,38783.0,20,2025,2026-01-23
64309,Manu Sánchez,539,2,2.0,738078.0,-7309.0,20,2025,2026-01-23
128985,Iker Losada,539,2,3.0,593006.0,-1264.0,20,2025,2026-01-23
286611,Pablo Campos,539,0,1.0,602216.0,-1648.0,20,2025,2026-01-23
338295,Primo,539,0,1.0,593998.0,-1305.0,20,2025,2026-01-23
1118,J. Toljan,539,0,2.0,776050.0,-8891.0,20,2025,2026-01-23
0,Paco Cortes,539,1,4.0,0.0,0.0,20,2025,2026-01-23
47467,José Luis Morales,539,0,4.0,620580.0,-2413.0,20,2025,2026-01-23
450497,Carlos Espí,539,1,4.0,589504.0,-1118.0,20,2025,2026-01-23
378284,Etta Eyong,539,2,4.0,28082763.0,150592.0,20,2025,2026-01-23
0,Martin Krug,539,0,2.0,0.0,0.0,20,2025,2026-01-23
0,Nacho Perez,539,0,2.0,0.0,0.0,20,2025,2026-01-23
2741,M. Ryan,539,7,1.0,1825817.0,8810.0,20,2025,2026-01-23
