id,name,team_id,points,position,market_value,variation,jornada,season,date
928,Parejo,533,5,3.0,807103.0,1223.0,21,2025,2026-01-27
1707,Gerard,533,2,4.0,42346500.0,-482759.0,21,2025,2026-01-27
0,Marcelino,533,0,5.0,0.0,0.0,21,2025,2026-01-27
70500,Sergi Cardona,533,0,2.0,6251470.0,-149578.0,21,2025,2026-01-27
278619,Luíz Júnior,533,6,1.0,16066755.0,-120027.0,21,2025,2026-01-27
166,Foyth,533,0,2.0,10184104.0,-291611.0,21,2025,2026-01-27
3246,N. Pépé,533,2,4.0,25111681.0,-424893.0,21,2025,2026-01-27
20696,Pape Gueye,533,2,3.0,12274229.0,354121.0,21,2025,2026-01-27
1702,Pedraza,533,0,2.0,2031477.0,18729.0,21,2025,2026-01-27
18906,Ayoze Pérez,533,2,4.0,18088190.0,-420157.0,21,2025,2026-01-27
237066,Rafa Marín,533,1,2.0,11075075.0,-7849.0,21,2025,2026-01-27
182519,Moleiro,533,0,3.0,118960277.0,746608.0,21,2025,2026-01-27
51016,T. Buchanan,533,2,3.0,15921233.0,-82187.0,21,2025,2026-01-27
49,T. Partey,533,1,3.0,1066454.0,-19753.0,21,2025,2026-01-27
435552,Pau Navarro,533,-1,2.0,592919.0,-24.0,21,2025,2026-01-27
336671,Renato Veiga,533,2,2.0,11274330.0,-95222.0,21,2025,2026-01-27
162473,Arnau Tenas,533,0,1.0,613959.0,-899.0,21,2025,2026-01-27
351587,T. Oluwaseyi,533,2,4.0,664961.0,-3025.0,21,2025,2026-01-27
180496,G. Mikautadze,533,3,4.0,19878675.0,177306.0,21,2025,2026-01-27
0,Carlos Macià,533,0,3.0,0.0,0.0,21,2025,2026-01-27
730,Courtois,541,10,1.0,49787337.0,614429.0,21,2025,2026-01-27
2207,Camavinga,541,7,3.0,25018910.0,620489.0,21,2025,2026-01-27
291964,Arda Guler,541,8,3.0,88146010.0,2831013.0,21,2025,2026-01-27
341640,Raúl Asencio,541,8,2.0,15171691.0,826564.0,21,2025,2026-01-27
47400,Lunin,541,0,1.0,596794.0,-184.0,21,2025,2026-01-27
733,Carvajal,541,0,2.0,4895156.0,-37100.0,21,2025,2026-01-27
505,Alaba,541,0,2.0,601685.0,-388.0,21,2025,2026-01-27
736,Fran García,541,0,2.0,635780.0,-1809.0,21,2025,2026-01-27
756,Valverde,541,6,3.0,110066317.0,1350742.0,21,2025,2026-01-27
744,Brahim,541,2,3.0,2038339.0,-18302.0,21,2025,2026-01-27
748,Ceballos,541,0,3.0,654979.0,-2609.0,21,2025,2026-01-27
10009,Rodrygo,541,0,4.0,49583283.0,279267.0,21,2025,2026-01-27
129718,Bellingham,541,9,3.0,124664812.0,298272.0,21,2025,2026-01-27
762,Vinicius Jr.,541,6,4.0,124412155.0,1770326.0,21,2025,2026-01-27
278,Mbappé,541,18,4.0,156043222.0,750485.0,21,2025,2026-01-27
361497,Huijsen,541,9,2.0,54801617.0,1249761.0,21,2025,2026-01-27
284300,Carreras,541,9,2.0,93257869.0,1423315.0,21,2025,2026-01-27
0,Diego Aguado,541,0,2.0,0.0,0.0,21,2025,2026-01-27
336711,Gonzalo,541,1,4.0,3231250.0,-29529.0,21,2025,2026-01-27
449249,Franco,541,6,4.0,6421901.0,180321.0,21,2025,2026-01-27
0,Mestre,541,0,1.0,0.0,0.0,21,2025,2026-01-27
0,Cestero,541,0,3.0,0.0,0.0,21,2025,2026-01-27
0,Arbeloa ,541,5,5.0,0.0,0.0,21,2025,2026-01-27
128582,De Frutos,728,3,4.0,38958724.0,-399456.0,21,2025,2026-01-27
47543,Álvaro García,728,2,3.0,17176545.0,-329148.0,21,2025,2026-01-27
47109,Ó. Valentín,728,2,3.0,798142.0,-8574.0,21,2025,2026-01-27
18895,Lejeune,728,5,2.0,40965810.0,-626203.0,21,2025,2026-01-27
181734,Chavarría,728,3,2.0,15798598.0,-236698.0,21,2025,2026-01-27
0,Iñigo Perez,728,0,5.0,0.0,0.0,21,2025,2026-01-27
324750,Carlos Martín,728,1,3.0,591600.0,31.0,21,2025,2026-01-27
156488,Cárdenas,728,0,1.0,590817.0,64.0,21,2025,2026-01-27
46759,Espino,728,0,2.0,593091.0,-30.0,21,2025,2026-01-27
131546,Isi,728,10,4.0,10020767.0,57880.0,21,2025,2026-01-27
41552,Pathé Ciss,728,10,3.0,2454912.0,27809.0,21,2025,2026-01-27
47285,Unai López,728,0,3.0,3839349.0,-75609.0,21,2025,2026-01-27
46887,Pedro Díaz,728,2,3.0,604761.0,-517.0,21,2025,2026-01-27
122657,Nteka,728,0,4.0,592609.0,-10.0,21,2025,2026-01-27
52,Camello,728,1,4.0,595825.0,-144.0,21,2025,2026-01-27
162931,Fran Pérez,728,0,3.0,611794.0,-809.0,21,2025,2026-01-27
290740,Akhomach,728,1,4.0,596424.0,-169.0,21,2025,2026-01-27
47557,Trejo,728,0,3.0,596060.0,-154.0,21,2025,2026-01-27
11379,A. Batalla,728,2,1.0,10803572.0,-189854.0,21,2025,2026-01-27
47414,Gumbau,728,0,3.0,593348.0,-41.0,21,2025,2026-01-27
1847,Luiz Felipe,728,0,2.0,610204.0,-743.0,21,2025,2026-01-27
314006,Jozhua Vertrouwd,728,-3,2.0,591594.0,33.0,21,2025,2026-01-27
91745,Alemão,728,1,4.0,623677.0,-1305.0,21,2025,2026-01-27
47448,Aitor Fdez.,727,0,1.0,592205.0,6.0,21,2025,2026-01-27
46662,Moncayola,727,10,3.0,4960230.0,51999.0,21,2025,2026-01-27
46646,S. Herrera,727,4,1.0,12556666.0,-147021.0,21,2025,2026-01-27
46658,Rubén García,727,4,3.0,13282769.0,257350.0,21,2025,2026-01-27
47574,Moi Gómez,727,0,3.0,790007.0,-8235.0,21,2025,2026-01-27
1825,Torró,727,1,3.0,754251.0,-6745.0,21,2025,2026-01-27
182621,Iker Muñoz,727,4,3.0,592052.0,13.0,21,2025,2026-01-27
279822,F. Boyomo,727,5,2.0,8380383.0,41698.0,21,2025,2026-01-27
181259,Abel Bretones,727,2,3.0,754073.0,-6737.0,21,2025,2026-01-27
47566,Javi Galán,727,8,2.0,2053514.0,92886.0,21,2025,2026-01-27
46967,Juan Cruz,727,0,2.0,623391.0,-1292.0,21,2025,2026-01-27
182592,Herrando,727,8,2.0,609022.0,-695.0,21,2025,2026-01-27
46667,Kike Barja,727,0,4.0,591739.0,26.0,21,2025,2026-01-27
67939,Aimar Oroz,727,2,3.0,4704524.0,-84801.0,21,2025,2026-01-27
146751,Raúl,727,1,4.0,597873.0,-230.0,21,2025,2026-01-27
46746,Budimir,727,8,4.0,21706146.0,549268.0,21,2025,2026-01-27
338751,Víctor Muñoz,727,9,4.0,8497682.0,271997.0,21,2025,2026-01-27
21701,Rosier,727,4,2.0,3451654.0,-43774.0,21,2025,2026-01-27
0,Alessio Lisci,727,5,5.0,0.0,0.0,21,2025,2026-01-27
381197,Asier Osambela,727,10,3.0,590170.0,92.0,21,2025,2026-01-27
421044,Íñigo Arguibide,727,0,2.0,587215.0,215.0,21,2025,2026-01-27
0,Rául Moro,727,0,4.0,0.0,0.0,21,2025,2026-01-27
47435,Fran Beltrán,547,2,3.0,599627.0,-302.0,21,2025,2026-01-27
47334,David López,547,0,2.0,602592.0,-427.0,21,2025,2026-01-27
1700,Iván Martín,547,5,3.0,2683585.0,7546.0,21,2025,2026-01-27
2182,Tsygankov,547,1,4.0,7231067.0,16532.0,21,2025,2026-01-27
531,Daley Blind,547,7,2.0,1791659.0,64130.0,21,2025,2026-01-27
162434,Alejandro Francés,547,3,2.0,592386.0,-1.0,21,2025,2026-01-27
45,Lemar,547,0,3.0,797976.0,8583.0,21,2025,2026-01-27
127,Ter Stegen,547,4,1.0,1457566.0,114216.0,21,2025,2026-01-27
158,Gazzaniga,547,0,1.0,1857787.0,-33748.0,21,2025,2026-01-27
432476,Krapyvtsov,547,0,1.0,590645.0,72.0,21,2025,2026-01-27
0,Michel,547,2,5.0,0.0,0.0,21,2025,2026-01-27
313025,Hugo Rincón,547,2,2.0,611009.0,-776.0,21,2025,2026-01-27
414359,Vitor Reis,547,11,2.0,4186017.0,118060.0,21,2025,2026-01-27
0,Gibi,547,0,2.0,0.0,0.0,21,2025,2026-01-27
339105,Joel Roca,547,3,3.0,604721.0,-514.0,21,2025,2026-01-27
47547,Álex Moreno,547,9,2.0,1460214.0,37107.0,21,2025,2026-01-27
161670,V. Vanat,547,2,4.0,4439548.0,160192.0,21,2025,2026-01-27
2061,Bryan Gil,547,3,4.0,1746085.0,5995.0,21,2025,2026-01-27
0,Arango,547,3,4.0,0.0,0.0,21,2025,2026-01-27
0,Echeverri,547,2,3.0,0.0,0.0,21,2025,2026-01-27
47247,David Soria,546,3,1.0,6451070.0,-110941.0,21,2025,2026-01-27
47258,Arambarri,546,3,3.0,21453600.0,-234181.0,21,2025,2026-01-27
46795,Domingos Duarte,546,4,2.0,1176733.0,-22477.0,21,2025,2026-01-27
119742,Juan Iglesias,546,9,2.0,806449.0,-8921.0,21,2025,2026-01-27
0,José Bordalás,546,2,5.0,0.0,0.0,21,2025,2026-01-27
66491,Letacek,546,0,1.0,591011.0,57.0,21,2025,2026-01-27
18867,Diego Rico,546,0,2.0,1027483.0,-18130.0,21,2025,2026-01-27
47085,Luis Milla,546,9,3.0,97411421.0,-1356030.0,21,2025,2026-01-27
309364,Coba,546,0,3.0,590456.0,79.0,21,2025,2026-01-27
