id,name,team_id,points,position,market_value,variation,jornada,season,date
918,Gayá,532,-1,2.0,953926.0,-11233.0,23,2025,2026-02-11
46933,Rioja,532,4,3.0,9861156.0,132918.0,23,2025,2026-02-11
47264,Hugo Duro,532,1,4.0,3274441.0,-43551.0,23,2025,2026-02-11
162127,Diego López,532,0,4.0,2057851.0,-52940.0,23,2025,2026-02-11
41157,Almeida,532,0,3.0,691785.0,-3414.0,23,2025,2026-02-11
333672,Tárrega,532,0,2.0,3184484.0,-69386.0,23,2025,2026-02-11
181582,Copete,532,0,2.0,697043.0,-3633.0,23,2025,2026-02-11
47527,Dimitrievski,532,4,1.0,601614.0,343.0,23,2025,2026-02-11
162175,Jesús Vázquez,532,0,2.0,608103.0,72.0,23,2025,2026-02-11
48372,E. Cömert,532,4,2.0,597683.0,506.0,23,2025,2026-02-11
47463,Pepelu,532,6,3.0,5097969.0,78052.0,23,2025,2026-02-11
315699,Javi Guerra,532,1,3.0,1997968.0,-50578.0,23,2025,2026-02-11
1482,Thierry Correia,532,2,2.0,602869.0,290.0,23,2025,2026-02-11
913,Cristian Rivero,532,0,1.0,596881.0,540.0,23,2025,2026-02-11
1708,Dani Raba,532,0,4.0,660581.0,-2114.0,23,2025,2026-02-11
0,Carlos Corberán,532,0,5.0,0.0,0.0,23,2025,2026-02-11
21153,B. Santamaría,532,0,3.0,649279.0,-1643.0,23,2025,2026-02-11
83,A. Danjuma,532,2,4.0,10922564.0,7992.0,23,2025,2026-02-11
48465,Filip Ugrinic,532,5,3.0,695028.0,9469.0,23,2025,2026-02-11
31406,Sadiq,532,1,4.0,657461.0,-1984.0,23,2025,2026-02-11
138776,L. Ramazani,532,1,4.0,615579.0,-239.0,23,2025,2026-02-11
6010,L. Beltrán,532,4,4.0,1236144.0,42667.0,23,2025,2026-02-11
2476,G. Rodríguez,532,2,3.0,4673810.0,-104095.0,23,2025,2026-02-11
47277,Unai Núñez,532,5,2.0,1816908.0,-35183.0,23,2025,2026-02-11
730,Courtois,541,6,1.0,50483627.0,-221285.0,23,2025,2026-02-11
2207,Camavinga,541,6,3.0,34692405.0,795503.0,23,2025,2026-02-11
1271,Tchouaméni,541,9,3.0,64451422.0,844208.0,23,2025,2026-02-11
291964,Arda Guler,541,6,3.0,116500212.0,1094362.0,23,2025,2026-02-11
341640,Raúl Asencio,541,8,2.0,22707563.0,723974.0,23,2025,2026-02-11
47400,Lunin,541,0,1.0,600115.0,405.0,23,2025,2026-02-11
733,Carvajal,541,0,2.0,3961074.0,-74191.0,23,2025,2026-02-11
505,Alaba,541,0,2.0,602766.0,295.0,23,2025,2026-02-11
2285,Rudiger,541,0,2.0,13983366.0,-133358.0,23,2025,2026-02-11
736,Fran García,541,0,2.0,621250.0,-475.0,23,2025,2026-02-11
756,Valverde,541,8,3.0,125523877.0,619945.0,23,2025,2026-02-11
744,Brahim,541,8,3.0,2996176.0,56748.0,23,2025,2026-02-11
748,Ceballos,541,0,3.0,631657.0,-909.0,23,2025,2026-02-11
278,Mbappé,541,11,4.0,153952471.0,-92205.0,23,2025,2026-02-11
361497,Huijsen,541,15,2.0,64621281.0,1196804.0,23,2025,2026-02-11
283,Trent,541,2,2.0,7488313.0,51829.0,23,2025,2026-02-11
284300,Carreras,541,16,2.0,90820432.0,1450328.0,23,2025,2026-02-11
336711,Gonzalo,541,4,4.0,2684625.0,-33855.0,23,2025,2026-02-11
449249,Franco,541,1,4.0,7269559.0,-125515.0,23,2025,2026-02-11
0,Mestre,541,0,1.0,0.0,0.0,23,2025,2026-02-11
330436,David Jiménez,541,7,2.0,596995.0,535.0,23,2025,2026-02-11
560905,Cestero,541,1,3.0,589126.0,1369.0,23,2025,2026-02-11
