id,name,team_id,points,position,market_value,variation,jornada,season,date
730,Courtois,541,10,1.0,49027609.0,-25936.0,20,2025,2026-01-22
2207,Camavinga,541,2,3.0,22869241.0,28315.0,20,2025,2026-01-22
1271,Tchouaméni,541,5,3.0,55626282.0,-1316767.0,20,2025,2026-01-22
291964,Arda Guler,541,11,3.0,77304380.0,1923894.0,20,2025,2026-01-22
341640,Raúl Asencio,541,16,2.0,12364797.0,539716.0,20,2025,2026-01-22
733,Carvajal,541,0,2.0,4876746.0,27840.0,20,2025,2026-01-22
505,Alaba,541,2,2.0,603455.0,-1171.0,20,2025,2026-01-22
736,Fran García,541,0,2.0,645272.0,-2914.0,20,2025,2026-01-22
756,Valverde,541,8,3.0,102920946.0,1546772.0,20,2025,2026-01-22
748,Ceballos,541,3,3.0,668818.0,-3895.0,20,2025,2026-01-22
129718,Bellingham,541,7,3.0,123920296.0,-433217.0,20,2025,2026-01-22
762,Vinicius Jr.,541,5,4.0,116101265.0,1092841.0,20,2025,2026-01-22
278,Mbappé,541,14,4.0,155566267.0,21270.0,20,2025,2026-01-22
361497,Huijsen,541,8,2.0,50587513.0,401300.0,20,2025,2026-01-22
284300,Carreras,541,10,2.0,88665255.0,495195.0,20,2025,2026-01-22
336711,Gonzalo,541,0,4.0,3163173.0,50629.0,20,2025,2026-01-22
396475,Fran González,541,0,1.0,589815.0,-603.0,20,2025,2026-01-22
449249,Franco,541,4,4.0,5617202.0,84313.0,20,2025,2026-01-22
0,Mestre,541,0,1.0,0.0,0.0,20,2025,2026-01-22
0,D. Jiménez,541,0,2.0,0.0,0.0,20,2025,2026-01-22
0,Cestero,541,0,3.0,0.0,0.0,20,2025,2026-01-22
0,Palacios,541,0,3.0,0.0,0.0,20,2025,2026-01-22
734,Dela,539,1,2.0,632651.0,2959.0,20,2025,2026-01-22
192032,Iván Romero,539,3,4.0,2708119.0,-24397.0,20,2025,2026-01-22
104949,Pablo Martínez,539,3,3.0,611525.0,-1507.0,20,2025,2026-01-22
182603,Olasagasti,539,2,3.0,591175.0,-659.0,20,2025,2026-01-22
182639,Unai Vencedor,539,1,3.0,591862.0,-688.0,20,2025,2026-01-22
182770,Carlos Álvarez,539,4,3.0,6458951.0,2630.0,20,2025,2026-01-22
64309,Manu Sánchez,539,2,2.0,745387.0,-7085.0,20,2025,2026-01-22
128985,Iker Losada,539,2,3.0,594270.0,-788.0,20,2025,2026-01-22
286611,Pablo Campos,539,0,1.0,603864.0,-1188.0,20,2025,2026-01-22
338295,Primo,539,0,1.0,595303.0,-831.0,20,2025,2026-01-22
1118,J. Toljan,539,0,2.0,784941.0,-8733.0,20,2025,2026-01-22
0,Paco Cortes,539,1,4.0,0.0,0.0,20,2025,2026-01-22
47467,José Luis Morales,539,0,4.0,622993.0,-1985.0,20,2025,2026-01-22
450497,Carlos Espí,539,1,4.0,590622.0,-636.0,20,2025,2026-01-22
378284,Etta Eyong,539,2,4.0,27932171.0,211522.0,20,2025,2026-01-22
0,Martin Krug,539,0,2.0,0.0,0.0,20,2025,2026-01-22
0,Nacho Perez,539,0,2.0,0.0,0.0,20,2025,2026-01-22
2741,M. Ryan,539,7,1.0,1817007.0,10974.0,20,2025,2026-01-22
20817,Koyalipou,539,0,4.0,600137.0,-1033.0,20,2025,2026-01-22
125239,Kevin Arriaga,539,0,3.0,655040.0,-3321.0,20,2025,2026-01-22
316517,A. Matturro,539,3,2.0,596651.0,-888.0,20,2025,2026-01-22
0,Luís Castro,539,0,5.0,0.0,0.0,20,2025,2026-01-22
0,K. Tunde,539,1,3.0,0.0,0.0,20,2025,2026-01-22
47314,Zubeldia,548,4,2.0,2954624.0,12910.0,20,2025,2026-01-22
47269,Remiro,548,9,1.0,5061777.0,-15614.0,20,2025,2026-01-22
47317,Barrenetxea,548,1,3.0,34373242.0,-180675.0,20,2025,2026-01-22
32862,Take Kubo,548,4,3.0,31862190.0,-874807.0,20,2025,2026-01-22
183744,Turrientes,548,1,3.0,602097.0,-1115.0,20,2025,2026-01-22
23,Sergio Gómez,548,5,2.0,5714278.0,76217.0,20,2025,2026-01-22
189832,Marrero,548,0,1.0,590033.0,-612.0,20,2025,2026-01-22
47298,Aritz,548,0,2.0,592948.0,-733.0,20,2025,2026-01-22
47303,Aihen,548,2,2.0,594746.0,-808.0,20,2025,2026-01-22
737,Odriozola,548,2,2.0,592401.0,-711.0,20,2025,2026-01-22
199044,Aramburu,548,3,2.0,793312.0,-565.0,20,2025,2026-01-22
7332,Luka Sucic,548,0,3.0,612177.0,-1535.0,20,2025,2026-01-22
47440,Brais Méndez,548,2,3.0,31153037.0,167453.0,20,2025,2026-01-22
47323,Oyarzabal,548,8,4.0,65343043.0,757968.0,20,2025,2026-01-22
288384,Mikel Goti,548,0,3.0,589544.0,-592.0,20,2025,2026-01-22
183748,Karrikaburu,548,0,4.0,592328.0,-707.0,20,2025,2026-01-22
287654,Jon Gorrotxategi,548,4,3.0,1426309.0,-17642.0,20,2025,2026-01-22
1902,Caleta-Car,548,2,2.0,711304.0,-5665.0,20,2025,2026-01-22
405073,Jon Martín,548,3,2.0,607218.0,-1328.0,20,2025,2026-01-22
925,Guedes,548,16,4.0,24446064.0,951110.0,20,2025,2026-01-22
290106,Pablo Marín,548,0,3.0,605784.0,-1268.0,20,2025,2026-01-22
930,Carlos Soler,548,9,3.0,9430594.0,-180620.0,20,2025,2026-01-22
0,Pellegrino Matarazzo,548,5,5.0,0.0,0.0,20,2025,2026-01-22
133609,Pedri,529,6,3.0,171105706.0,-411790.0,20,2025,2026-01-22
161928,Álex Balde,529,4,2.0,52224265.0,-122857.0,20,2025,2026-01-22
340626,Fermín,529,3,3.0,134898472.0,883157.0,20,2025,2026-01-22
396623,Pau Cubarsí,529,2,2.0,43104390.0,43018.0,20,2025,2026-01-22
0,Hansi Flick,529,0,5.0,0.0,0.0,20,2025,2026-01-22
127,Ter Stegen,547,0,1.0,891533.0,85483.0,20,2025,2026-01-22
619,Eric García,529,2,2.0,76825293.0,555531.0,20,2025,2026-01-22
1257,Koundé,529,1,2.0,44337754.0,187820.0,20,2025,2026-01-22
101814,Araújo,529,0,2.0,3523011.0,-59989.0,20,2025,2026-01-22
538,De Jong,529,4,3.0,59197058.0,739659.0,20,2025,2026-01-22
931,Ferran Torres,529,3,4.0,96167887.0,-2647413.0,20,2025,2026-01-22
1323,Dani Olmo,529,7,3.0,48427891.0,1069026.0,20,2025,2026-01-22
329728,Casadó,529,0,3.0,1240622.0,-25248.0,20,2025,2026-01-22
521,Lewandowski,529,0,4.0,53170409.0,207263.0,20,2025,2026-01-22
386828,Lamine Yamal,529,15,4.0,161522200.0,-536728.0,20,2025,2026-01-22
182718,Joan García,529,3,1.0,69039596.0,-392009.0,20,2025,2026-01-22
909,Rashford,529,7,4.0,41374804.0,-155676.0,20,2025,2026-01-22
181701,Gerard Martín,529,2,2.0,22769652.0,-147497.0,20,2025,2026-01-22
851,Szczesny,529,0,1.0,1128686.0,8134.0,20,2025,2026-01-22
433396,Marc Bernal,529,0,3.0,614567.0,-1634.0,20,2025,2026-01-22
338958,R. Bardghji,529,2,3.0,963327.0,-13789.0,20,2025,2026-01-22
0,João Cancelo,529,5,2.0,0.0,0.0,20,2025,2026-01-22
47336,Darder,798,12,3.0,10034681.0,121528.0,20,2025,2026-01-22
46733,Raíllo,798,0,2.0,5175564.0,-83145.0,20,2025,2026-01-22
46738,Valjent,798,4,2.0,2838066.0,-28208.0,20,2025,2026-01-22
0,Jagoba Arrasate,798,5,5.0,0.0,0.0,20,2025,2026-01-22
