id,name,team_id,points,position,market_value,variation,jornada,season,date
195923,Carmona,536,4,2.0,2256870.0,-50901.0,27,2025,2026-03-11
957,Sow,536,6,3.0,959464.0,27619.0,27,2025,2026-03-11
182772,Juanlu,536,3,3.0,696499.0,533.0,27,2025,2026-03-11
133110,Nianzou,536,5,2.0,666220.0,1794.0,27,2025,2026-03-11
1489,Gudelj,536,4,3.0,696673.0,525.0,27,2025,2026-03-11
21004,Agoumé,536,3,3.0,1572236.0,-22647.0,27,2025,2026-03-11
39121,Ejuke,536,4,4.0,674149.0,1464.0,27,2025,2026-03-11
185398,Isaac Romero,536,2,4.0,776695.0,-2809.0,27,2025,2026-03-11
19172,Nyland,536,0,1.0,673451.0,1493.0,27,2025,2026-03-11
297311,Kike Salas,536,4,2.0,1653248.0,5188.0,27,2025,2026-03-11
338902,Andrés Castrín,536,0,2.0,667552.0,1739.0,27,2025,2026-03-11
2924,A. Januzaj,536,0,3.0,667296.0,1749.0,27,2025,2026-03-11
331607,Manu Bueno,536,0,3.0,666048.0,1801.0,27,2025,2026-03-11
57446,Akor Adams,536,9,4.0,1216703.0,2644.0,27,2025,2026-03-11
546798,Miguel Sierra,536,0,4.0,665980.0,1804.0,27,2025,2026-03-11
557,Vlachodimos,536,4,1.0,1208016.0,-20300.0,27,2025,2026-03-11
2280,Azpilicueta,536,8,2.0,693238.0,669.0,27,2025,2026-03-11
21087,B. Mendy,536,2,3.0,715194.0,-246.0,27,2025,2026-03-11
47389,Jordán,536,0,3.0,666429.0,1786.0,27,2025,2026-03-11
341453,Oso,536,4,2.0,672526.0,1532.0,27,2025,2026-03-11
41208,Fábio Cardoso,536,0,2.0,667998.0,1720.0,27,2025,2026-03-11
910,A. Sánchez,536,3,4.0,834744.0,-5228.0,27,2025,2026-03-11
128582,De Frutos,728,2,4.0,41148639.0,432124.0,27,2025,2026-03-11
47543,Álvaro García,728,1,3.0,14624484.0,-138308.0,27,2025,2026-03-11
47109,Ó. Valentín,728,4,3.0,701841.0,310.0,27,2025,2026-03-11
20520,Balliu,728,0,2.0,666734.0,1773.0,27,2025,2026-03-11
18895,Lejeune,728,4,2.0,51496232.0,692496.0,27,2025,2026-03-11
181734,Chavarría,728,0,2.0,7361523.0,-118892.0,27,2025,2026-03-11
0,Iñigo Perez,728,2,5.0,0.0,0.0,27,2025,2026-03-11
324750,Carlos Martín,728,2,3.0,666140.0,1798.0,27,2025,2026-03-11
