player_name,posicion,equipo,marketValue,pred_var_1d,pred_pct_1d,pred_mv_mañana
Marc Pubill,20,Club Atlético de Madrid SAD,11077504,22023.18,0.2,11099527.1796875
Hugo Rincón,20,Girona Fútbol Club SAD,607142,22022.312,3.63,629164.3125
Álvaro,40,Elche Club de Fútbol SAD,3740616,19802.488,0.53,3760418.48828125
David Carmo,20,Real Oviedo SAD,764219,18305.387,2.4,782524.38671875
David Costas,20,Real Oviedo SAD,656210,16190.533,2.47,672400.533203125
Kiko Femenía,20,Getafe Club de Fútbol SAD,757264,14087.95,1.86,771351.9501953125
Iván Martín,30,Girona Fútbol Club SAD,3155538,13752.69,0.44,3169290.6904296875
Olasagasti,30,Levante Unión Deportiva SAD,595769,12452.088,2.09,608221.087890625
André Silva,40,Elche Club de Fútbol SAD,2041958,12436.433,0.61,2054394.4326171875
Valles,10,Real Betis Balompié SAD,2667794,10862.481,0.41,2678656.4814453125
Toni Martínez,40,Deportivo Alavés SAD,1239235,10164.446,0.82,1249399.4462890625
Marc Roca,30,Real Betis Balompié SAD,1656192,9916.242,0.6,1666108.2421875
Rodrigo Mendoza,30,Club Atlético de Madrid SAD,839011,9816.186,1.17,848827.185546875
R. Rodríguez,20,Real Betis Balompié SAD,944626,9730.291,1.03,954356.291015625
Vinicius Jr.,40,Real Madrid Club de Fútbol,118471288,9655.939,0.01,118480943.93945312
Vlachodimos,10,Sevilla Fútbol Club SAD,1602563,8111.1226,0.51,1610674.1225585938
L. Boyé,40,Deportivo Alavés SAD,1086347,7218.31,0.66,1093565.3100585938
Casadó,30,Fútbol Club Barcelona,1096433,6473.961,0.59,1102906.9609375
C. Bakambu,40,Real Betis Balompié SAD,599572,5943.4937,0.99,605515.4936523438
Dimitrievski,10,Valencia Club de Fútbol SAD,600408,5070.544,0.84,605478.5439453125
Alberto Reina,30,Real Oviedo SAD,598212,4682.2886,0.78,602894.2885742188
Nacho Vidal,20,Real Oviedo SAD,601348,4428.1636,0.74,605776.1635742188
Jan Salas,30,Real Club Deportivo Mallorca SAD,471210,4378.3955,0.93,475588.3955078125
Iker Muñoz,30,Club Atlético Osasuna,595992,3894.8103,0.65,599886.8103027344
F. Viñas,40,Real Oviedo SAD,606370,3568.1501,0.59,609938.1501464844
Selton Sánchez,30,Athletic Club,594226,3349.7134,0.56,597575.7133789062
K. Sibo,30,Real Oviedo SAD,597733,3080.6804,0.52,600813.6804199219
Calebe,30,Deportivo Alavés SAD,596191,3023.3005,0.51,599214.3005371094
Antonio S.,30,Real Club Deportivo Mallorca SAD,596191,2927.0935,0.49,599118.0935058594
E. Cömert,20,Valencia Club de Fútbol SAD,596143,2896.8606,0.49,599039.8605957031
Prados,30,Athletic Club,596874,2505.3506,0.42,599379.3505859375
Musso,10,Club Atlético de Madrid SAD,595523,1967.7758,0.33,597490.7757568359
Alejandro Iturbe,10,Elche Club de Fútbol SAD,595254,1967.7758,0.33,597221.7757568359
Montero,10,Deportivo Alavés SAD,595112,1967.7758,0.33,597079.7757568359
Ángel Fortuño,10,RCD Espanyol de Barcelona,595604,1967.7758,0.33,597571.7757568359
Raúl Fernández,10,Deportivo Alavés SAD,595240,1967.7758,0.33,597207.7757568359
A. Martinez,0,Getafe Club de Fútbol SAD,595068,1967.7758,0.33,597035.7757568359
P. Meixus,0,Real Club Celta de Vigo SAD,590992,1967.7758,0.33,592959.7757568359
Lebarbier,0,Real Club Deportivo Mallorca SAD,594476,1967.7758,0.33,596443.7757568359
R. Arroyo,0,Real Club Celta de Vigo SAD,592072,1967.7758,0.33,594039.7757568359
Barry,0,Fútbol Club Barcelona,594865,1967.7758,0.33,596832.7757568359
Sierra,0,Fútbol Club Barcelona,594865,1967.7758,0.33,596832.7757568359
Costa,0,Villarreal Club de Fútbol SAD,596562,1967.7758,0.33,598529.7757568359
Félix,0,Fútbol Club Barcelona,596178,1967.7758,0.33,598145.7757568359
M. Narváez,10,Real Oviedo SAD,596053,1967.7758,0.33,598020.7757568359
Adrián,10,Real Betis Balompié SAD,595623,1967.7758,0.33,597590.7757568359
Pol Tristán,10,RCD Espanyol de Barcelona,594905,1967.7758,0.33,596872.7757568359
Kambwala,0,Villarreal Club de Fútbol SAD,599942,1967.7758,0.33,601909.7757568359
Primo,10,Levante Unión Deportiva SAD,597746,1967.7758,0.33,599713.7757568359
Padilla,10,Athletic Club,596658,1967.7758,0.33,598625.7757568359
Roson,0,Real Club Deportivo Mallorca SAD,590992,1967.7758,0.33,592959.7757568359
Marc Vidal,0,Real Sociedad de Fútbol SAD,595482,1967.7758,0.33,597449.7757568359
Yassin T.,0,Girona Fútbol Club SAD,590992,1967.7758,0.33,592959.7757568359
Nil,10,Real Club Deportivo Mallorca SAD,589357,1967.7758,0.33,591324.7757568359
Álvaro García,0,Deportivo Alavés SAD,590992,1967.7758,0.33,592959.7757568359
Bladi,0,Club Atlético de Madrid SAD,595412,1967.7758,0.33,597379.7757568359
Kochen,10,Fútbol Club Barcelona,596434,1967.7758,0.33,598401.7757568359
Taufik Seidu,0,Club Atlético de Madrid SAD,595172,1967.7758,0.33,597139.7757568359
Andreev,10,Girona Fútbol Club SAD,596631,1967.7758,0.33,598598.7757568359
Cuéllar,10,Real Club Deportivo Mallorca SAD,595474,1967.7758,0.33,597441.7757568359
Fran González,10,Real Madrid Club de Fútbol,595116,1967.7758,0.33,597083.7757568359
Moldovan,10,Real Oviedo SAD,596207,1967.7758,0.33,598174.7757568359
Ibon Sánchez,0,Deportivo Alavés SAD,594593,1967.7758,0.33,596560.7757568359
Iván Villar,10,Real Club Celta de Vigo SAD,595842,1967.7758,0.33,597809.7757568359
Cristian Rivero,10,Valencia Club de Fútbol SAD,595272,1967.7758,0.33,597239.7757568359
Marc Jurado,0,,592223,1967.7758,0.33,594190.7757568359
Óscar Marcos,0,Real Club Celta de Vigo SAD,595303,1967.7758,0.33,597270.7757568359
Pedroarena,0,Deportivo Alavés SAD,594593,1967.7758,0.33,596560.7757568359
Sarasa,0,Athletic Club,595781,1967.7758,0.33,597748.7757568359
Adrián,0,Deportivo Alavés SAD,594593,1967.7758,0.33,596560.7757568359
Alex Marchal,0,Valencia Club de Fútbol SAD,592223,1967.7758,0.33,594190.7757568359
Aitor Fdez.,10,Club Atlético Osasuna,596082,1967.7758,0.33,598049.7757568359
Nordin Al-Lal,0,Getafe Club de Fútbol SAD,590992,1967.7758,0.33,592959.7757568359
Esquivel,10,Club Atlético de Madrid SAD,594990,1967.7758,0.33,596957.7757568359
Fortea,0,Real Madrid Club de Fútbol,595309,1967.7758,0.33,597276.7757568359
J. Benito,0,Getafe Club de Fútbol SAD,595386,1967.7758,0.33,597353.7757568359
Lunin,10,Real Madrid Club de Fútbol,598782,1967.7758,0.33,600749.7757568359
Mestre,10,Real Madrid Club de Fútbol,595143,1967.7758,0.33,597110.7757568359
Krapyvtsov,10,Girona Fútbol Club SAD,595165,1967.7758,0.33,597132.7757568359
Letacek,10,Getafe Club de Fútbol SAD,595379,1967.7758,0.33,597346.7757568359
Mumin,0,Rayo Vallecano de Madrid SAD,595683,1967.7758,0.33,597650.7757568359
Cárdenas,10,Rayo Vallecano de Madrid SAD,595266,1967.7758,0.33,597233.7757568359
Javi Navarro,0,Real Club Deportivo Mallorca SAD,594865,1967.7758,0.33,596832.7757568359
Juanpe Gil,10,Rayo Vallecano de Madrid SAD,594997,1967.7758,0.33,596964.7757568359
Alberto Flores,10,Sevilla Fútbol Club SAD,595189,1967.7758,0.33,597156.7757568359
Ferrer,10,Getafe Club de Fútbol SAD,595386,1967.7758,0.33,597353.7757568359
Fraga,10,Real Sociedad de Fútbol SAD,600205,1967.7758,0.33,602172.7757568359
David López,20,Real Club Deportivo Mallorca SAD,595427,1753.2794,0.29,597180.2794189453
Pablo Campos,10,Levante Unión Deportiva SAD,601855,1713.6508,0.28,603568.6507568359
L. Bergström,10,Real Club Deportivo Mallorca SAD,601310,1387.238,0.23,602697.2380371094
A. Januzaj,30,Sevilla Fútbol Club SAD,599662,1337.0992,0.22,600999.0992431641
Ratiu,20,Rayo Vallecano de Madrid SAD,31982543,1234.526,0.0,31983777.526000977
Oso,20,Sevilla Fútbol Club SAD,598858,965.429,0.16,599823.4290161133
Gudelj,30,Sevilla Fútbol Club SAD,651139,878.95953,0.13,652017.9595336914
Ejuke,40,Sevilla Fútbol Club SAD,622975,259.45392,0.04,623234.453918457
Mascarell,30,Real Club Deportivo Mallorca SAD,615902,233.73651,0.04,616135.7365112305
G. Diangana,40,Elche Club de Fútbol SAD,605000,233.73651,0.04,605233.7365112305
Gorosabel,20,Athletic Club,601362,210.0647,0.03,601572.0646972656
Rahim,20,Real Oviedo SAD,598188,137.77689,0.02,598325.7768859863
L. Pétrot,20,Elche Club de Fútbol SAD,595842,137.77689,0.02,595979.7768859863
Facundo Garcés,20,Deportivo Alavés SAD,715812,137.77689,0.02,715949.7768859863
Víctor García,20,Levante Unión Deportiva SAD,596027,137.77689,0.02,596164.7768859863
Odriozola,20,Real Sociedad de Fútbol SAD,596354,72.6796,0.01,596426.6796035767
Luiz Felipe,20,Rayo Vallecano de Madrid SAD,606668,15.052296,0.0,606683.0522956848
Herrera,30,Real Sociedad de Fútbol SAD,617510,15.052296,0.0,617525.0522956848
Maroan,40,Athletic Club,614087,15.052296,0.0,614102.0522956848
Juanmi,40,Getafe Club de Fútbol SAD,606576,15.052296,0.0,606591.0522956848
A. Kamara,40,Getafe Club de Fútbol SAD,603664,15.052296,0.0,603679.0522956848
David López,20,Girona Fútbol Club SAD,607128,15.052296,0.0,607143.0522956848
Arnau Tenas,10,Villarreal Club de Fútbol SAD,608879,15.052296,0.0,608894.0522956848
Nteka,40,Rayo Vallecano de Madrid SAD,596321,-80.90714,-0.01,596240.0928573608
Camello,40,Rayo Vallecano de Madrid SAD,598212,-80.90714,-0.01,598131.0928573608
Papa,30,Girona Fútbol Club SAD,594969,-80.90714,-0.01,594888.0928573608
L. Pinillos,30,Deportivo Alavés SAD,594990,-80.90714,-0.01,594909.0928573608
Alex Costa,40,Sevilla Fútbol Club SAD,595254,-80.90714,-0.01,595173.0928573608
Jordán,30,Sevilla Fútbol Club SAD,596710,-80.90714,-0.01,596629.0928573608
Folgado,10,Real Sociedad de Fútbol SAD,595415,-80.90714,-0.01,595334.0928573608
Stamatakis,10,Club Atlético Osasuna,594970,-80.90714,-0.01,594889.0928573608
Abel Ruiz,40,Girona Fútbol Club SAD,596504,-80.90714,-0.01,596423.0928573608
Van de Beek,30,Girona Fútbol Club SAD,597182,-80.90714,-0.01,597101.0928573608
D. Pérez,30,Real Betis Balompié SAD,595251,-80.90714,-0.01,595170.0928573608
Carlos Domínguez,20,Real Club Celta de Vigo SAD,596106,-80.90714,-0.01,596025.0928573608
Mauro,30,Club Atlético Osasuna,595089,-80.90714,-0.01,595008.0928573608
Ángel Ortiz,20,Real Betis Balompié SAD,597388,-80.90714,-0.01,597307.0928573608
Nacho Perez,20,Levante Unión Deportiva SAD,595115,-80.90714,-0.01,595034.0928573608
Joan Ruiz,30,Levante Unión Deportiva SAD,595235,-80.90714,-0.01,595154.0928573608
Vilaplana,20,Getafe Club de Fútbol SAD,595115,-80.90714,-0.01,595034.0928573608
Iván,30,Real Betis Balompié SAD,595115,-80.90714,-0.01,595034.0928573608
Jon De Luis,20,Athletic Club,595115,-80.90714,-0.01,595034.0928573608
Gibi,20,Girona Fútbol Club SAD,594969,-80.90714,-0.01,594888.0928573608
Ristić,20,Real Club Celta de Vigo SAD,595112,-80.90714,-0.01,595031.0928573608
Albert,20,Elche Club de Fútbol SAD,595419,-80.90714,-0.01,595338.0928573608
R. Chasco,20,Club Atlético Osasuna,594970,-80.90714,-0.01,594889.0928573608
Yago,30,Elche Club de Fútbol SAD,595204,-80.90714,-0.01,595123.0928573608
Kike Barja,40,Club Atlético Osasuna,595808,-80.90714,-0.01,595727.0928573608
Carlos Martín,30,Rayo Vallecano de Madrid SAD,595726,-80.90714,-0.01,595645.0928573608
De Las Sias,20,Rayo Vallecano de Madrid SAD,595115,-80.90714,-0.01,595034.0928573608
Adrián Molina,10,Rayo Vallecano de Madrid SAD,595001,-80.90714,-0.01,594920.0928573608
Cheli,30,Real Oviedo SAD,594969,-80.90714,-0.01,594888.0928573608
Javi Muñoz,30,Getafe Club de Fútbol SAD,598815,-80.90714,-0.01,598734.0928573608
Aimar Blázquez,40,Valencia Club de Fútbol SAD,595078,-80.90714,-0.01,594997.0928573608
Miguel Sierra,40,Sevilla Fútbol Club SAD,595189,-80.90714,-0.01,595108.0928573608
Salhi,20,Real Club Deportivo Mallorca SAD,595084,-80.90714,-0.01,595003.0928573608
Edu Altozano,30,Sevilla Fútbol Club SAD,595115,-80.90714,-0.01,595034.0928573608
Swiderski,10,Deportivo Alavés SAD,594969,-80.90714,-0.01,594888.0928573608
Xavi Espart,20,Fútbol Club Barcelona,595491,-80.90714,-0.01,595410.0928573608
David Delgado,20,Elche Club de Fútbol SAD,594865,-80.90714,-0.01,594784.0928573608
