player_name,posicion,equipo,marketValue,pred_var_1d,pred_pct_1d,pred_mv_mañana,mv_real_9feb,var_real_api,var_real,var_real_pct,error_abs,error_pct,error_con_signo,pred_sube,real_sube,acierto_direccion
Arnau,2,Girona Fútbol Club SAD,1660832.0,31545.396,1.9,1692377.396484375,1660832.0,25072.0,0.0,0.0,31545.396484375,1.9,31545.396484375,True,True,True
Marc Pubill,2,Club Atlético de Madrid SAD,11077504.0,30602.656,0.28,11108106.65625,11077504.0,58799.0,0.0,0.0,30602.65625,0.28,30602.65625,True,True,True
Darder,3,Real Club Deportivo Mallorca SAD,12460642.0,27540.98,0.22,12488182.98046875,12460642.0,53871.0,0.0,0.0,27540.98046875,0.22,27540.98046875,True,True,True
Nico Serrano,4,Athletic Club,596261.0,18403.281,3.09,614664.28125,596261.0,2280.0,0.0,0.0,18403.28125,3.09,18403.28125,True,True,True
Marc Bernal,3,Fútbol Club Barcelona,615977.0,16630.525,2.7,632607.525390625,615977.0,7866.0,0.0,0.0,16630.525390625,2.7,16630.525390625,True,True,True
Rubén García,3,Club Atlético Osasuna,17058042.0,15694.388,0.09,17073736.387695312,17058042.0,36071.0,0.0,0.0,15694.3876953125,0.09,15694.3876953125,True,True,True
Chimy Ávila,4,Real Betis Balompié SAD,602309.0,14048.362,2.33,616357.3623046875,602309.0,2028.0,0.0,0.0,14048.3623046875,2.33,14048.3623046875,True,True,True
Lemar,3,Girona Fútbol Club SAD,775224.0,13302.695,1.72,788526.6953125,775224.0,-5177.0,0.0,0.0,13302.6953125,1.72,13302.6953125,True,False,False
Raúl,4,Club Atlético Osasuna,599417.0,12485.592,2.08,611902.591796875,599417.0,2149.0,0.0,0.0,12485.591796875,2.08,12485.591796875,True,True,True
Iván Martín,3,Girona Fútbol Club SAD,3155538.0,12043.503,0.38,3167581.5029296875,3155538.0,20947.0,0.0,0.0,12043.5029296875,0.38,12043.5029296875,True,True,True
Kike Salas,2,Sevilla Fútbol Club SAD,861278.0,11205.462,1.3,872483.4619140625,861278.0,-6117.0,0.0,0.0,11205.4619140625,1.3,11205.4619140625,True,False,False
Oskarsson,4,Real Sociedad de Fútbol SAD,603697.0,10720.251,1.78,614417.2509765625,603697.0,1970.0,0.0,0.0,10720.2509765625,1.78,10720.2509765625,True,True,True
Héctor Fort,2,Elche Club de Fútbol SAD,758678.0,8975.095,1.18,767653.0947265625,758678.0,-4487.0,0.0,0.0,8975.0947265625,1.18,8975.0947265625,True,False,False
Turrientes,3,Real Sociedad de Fútbol SAD,609093.0,7459.906,1.22,616552.9057617188,609093.0,1745.0,0.0,0.0,7459.90576171875,1.22,7459.90576171875,True,True,True
Javi López,2,Real Oviedo SAD,596466.0,6465.009,1.08,602931.0087890625,596466.0,2271.0,0.0,0.0,6465.0087890625,1.08,6465.0087890625,True,True,True
Olasagasti,3,Levante Unión Deportiva SAD,595769.0,5242.4443,0.88,601011.4443359375,595769.0,2301.0,0.0,0.0,5242.4443359375,0.88,5242.4443359375,True,True,True
David Costas,2,Real Oviedo SAD,656210.0,3039.7507,0.46,659249.7507324219,656210.0,-218.0,0.0,0.0,3039.750732421875,0.46,3039.750732421875,True,False,False
David Carmo,2,Real Oviedo SAD,764219.0,2314.06,0.3,766533.0600585938,764219.0,-4718.0,0.0,0.0,2314.06005859375,0.3,2314.06005859375,True,False,False
Iker Muñoz,3,Club Atlético Osasuna,595992.0,1933.2863,0.32,597925.2862548828,595992.0,2291.0,0.0,0.0,1933.2862548828125,0.32,1933.2862548828125,True,True,True
F. Viñas,4,Real Oviedo SAD,606370.0,1933.2863,0.32,608303.2862548828,606370.0,1859.0,0.0,0.0,1933.2862548828125,0.32,1933.2862548828125,True,True,True
Calebe,3,Deportivo Alavés SAD,596191.0,1933.2863,0.32,598124.2862548828,596191.0,2283.0,0.0,0.0,1933.2862548828125,0.32,1933.2862548828125,True,True,True
Nacho Vidal,2,Real Oviedo SAD,601348.0,1373.8704,0.23,602721.8703613281,601348.0,2068.0,0.0,0.0,1373.870361328125,0.23,1373.870361328125,True,True,True
Ejuke,4,Sevilla Fútbol Club SAD,622975.0,911.86554,0.15,623886.8655395508,622975.0,1167.0,0.0,0.0,911.8655395507812,0.15,911.8655395507812,True,True,True
Morlanes,3,Real Club Deportivo Mallorca SAD,604022.0,737.9363,0.12,604759.9362792969,604022.0,1957.0,0.0,0.0,737.936279296875,0.12,737.936279296875,True,True,True
