id,name,position,team_id,market_value,market_variation,date,points,jornada,season
1461,Denis Suárez,3.0,542,587969.0,2873.0,2026-01-01,3.0,17.0,2025.0
1482,Thierry Correia,2.0,532,583618.0,3055.0,2026-01-01,9.0,17.0,2025.0
1489,Gudelj,3.0,536,690957.0,-1418.0,2026-01-01,2.0,17.0,2025.0
1496,Raphinha,4.0,529,179682455.0,153201.0,2026-01-01,15.0,17.0,2025.0
1557,Pau López,1.0,543,1680567.0,-40741.0,2026-01-01,0.0,17.0,2025.0
1561,Bartra,2.0,543,35559859.0,197585.0,2026-01-01,10.0,17.0,2025.0
1564,Junior Firpo,2.0,543,1445708.0,-32866.0,2026-01-01,,,
1578,G. Lo Celso,3.0,543,26849654.0,-525579.0,2026-01-01,1.0,17.0,2025.0
1631,R. Rodríguez,2.0,543,1705091.0,-7768.0,2026-01-01,8.0,17.0,2025.0
1695,Santi Cazorla,3.0,718,611088.0,1910.0,2026-01-01,1.0,17.0,2025.0
1697,Fornals,3.0,543,115395502.0,148464.0,2026-01-01,16.0,17.0,2025.0
1700,Iván Martín,3.0,547,2598259.0,-29132.0,2026-01-01,4.0,17.0,2025.0
1701,Morlanes,3.0,798,594683.0,2594.0,2026-01-01,1.0,17.0,2025.0
1702,Pedraza,2.0,533,1348555.0,-28818.0,2026-01-01,,,
1703,Ratiu,2.0,728,41479951.0,828670.0,2026-01-01,,,
1707,Gerard,4.0,533,37834577.0,696587.0,2026-01-01,0.0,17.0,2025.0
1708,Dani Raba,4.0,532,891323.0,-9766.0,2026-01-01,0.0,17.0,2025.0
1825,Torró,3.0,727,871484.0,-8940.0,2026-01-01,5.0,17.0,2025.0
1847,Luiz Felipe,2.0,728,607685.0,2052.0,2026-01-01,1.0,17.0,2025.0
1902,Caleta-Car,2.0,548,837231.0,-7512.0,2026-01-01,0.0,17.0,2025.0
1926,Aidoo,2.0,538,560416.0,4022.0,2026-01-01,0.0,17.0,2025.0
2061,Bryan Gil,4.0,547,1762890.0,-32523.0,2026-01-01,1.0,17.0,2025.0
2063,André Silva,4.0,797,4812891.0,-129976.0,2026-01-01,,,
2182,Tsygankov,4.0,547,4921087.0,20783.0,2026-01-01,3.0,17.0,2025.0
2207,Camavinga,3.0,541,15158299.0,367638.0,2026-01-01,3.0,17.0,2025.0
2278,Marcos Alonso,2.0,538,20381610.0,456453.0,2026-01-01,9.0,17.0,2025.0
2280,Azpilicueta,2.0,536,998052.0,-9476.0,2026-01-01,,,
2282,Christensen,2.0,529,793406.0,-5686.0,2026-01-01,,,
2285,Rudiger,2.0,541,17639487.0,507815.0,2026-01-01,7.0,17.0,2025.0
2449,Yangel Herrera,3.0,548,660950.0,-167.0,2026-01-01,,,
2465,Musso,1.0,530,552922.0,4334.0,2026-01-01,0.0,17.0,2025.0
2617,Stuani,4.0,547,571508.0,3559.0,2026-01-01,,,
2741,M. Ryan,1.0,539,1860853.0,-31677.0,2026-01-01,7.0,17.0,2025.0
2762,J. Brekalo,3.0,718,566949.0,3749.0,2026-01-01,5.0,17.0,2025.0
2813,Dmitrovic,1.0,540,14153037.0,-103202.0,2026-01-01,9.0,17.0,2025.0
2922,L. Dendoncker,3.0,718,1340180.0,-28469.0,2026-01-01,0.0,17.0,2025.0
2924,A. Januzaj,3.0,536,573256.0,3486.0,2026-01-01,2.0,17.0,2025.0
3033,C. Bakambu,4.0,543,572812.0,3505.0,2026-01-01,,,
3246,N. Pépé,4.0,533,25897345.0,-327809.0,2026-01-01,1.0,17.0,2025.0
3608,K. Sibo,3.0,718,563770.0,3882.0,2026-01-01,5.0,17.0,2025.0
6009,Julián A.,4.0,530,114206451.0,-705883.0,2026-01-01,9.0,17.0,2025.0
6010,L. Beltrán,4.0,532,946620.0,-12070.0,2026-01-01,3.0,17.0,2025.0
6067,Thiago Almada,3.0,530,8808362.0,-200178.0,2026-01-01,1.0,17.0,2025.0
6085,Protesoni,3.0,542,559531.0,4058.0,2026-01-01,0.0,17.0,2025.0
6233,Tenaglia,2.0,542,17033461.0,-147097.0,2026-01-01,2.0,17.0,2025.0
6503,Nahuel,2.0,530,1042326.0,7867.0,2026-01-01,0.0,17.0,2025.0
7332,Luka Sucic,3.0,548,603619.0,2221.0,2026-01-01,6.0,17.0,2025.0
8492,Sørloth,4.0,530,5997861.0,-31514.0,2026-01-01,5.0,17.0,2025.0
8746,Bambo Diaby,2.0,797,552002.0,4372.0,2026-01-01,0.0,17.0,2025.0
9971,Antony,4.0,543,119190981.0,-1803845.0,2026-01-01,13.0,17.0,2025.0
10009,Rodrygo,4.0,541,21918287.0,1255715.0,2026-01-01,19.0,17.0,2025.0
11346,Dituro,1.0,797,925024.0,-11171.0,2026-01-01,0.0,17.0,2025.0
11379,A. Batalla,1.0,728,14470523.0,-159055.0,2026-01-01,-2.0,17.0,2025.0
11421,G. Suazo,2.0,536,3294393.0,-87901.0,2026-01-01,5.0,17.0,2025.0
15900,Mumin,2.0,728,553700.0,4301.0,2026-01-01,,,
18740,Jonny Otto,2.0,542,3273470.0,-29350.0,2026-01-01,1.0,17.0,2025.0
18794,Kiko Femenía,2.0,546,1216286.0,-23306.0,2026-01-01,-2.0,17.0,2025.0
18812,Adrián,1.0,543,553414.0,4313.0,2026-01-01,0.0,17.0,2025.0
18821,G. Diangana,3.0,797,599482.0,2394.0,2026-01-01,,,
18867,Diego Rico,2.0,546,1511182.0,-34299.0,2026-01-01,2.0,17.0,2025.0
18895,Lejeune,2.0,728,35228832.0,-59230.0,2026-01-01,-1.0,17.0,2025.0
18906,Ayoze Pérez,4.0,533,26203952.0,-54296.0,2026-01-01,2.0,17.0,2025.0
19172,Nyland,1.0,536,676171.0,-802.0,2026-01-01,0.0,17.0,2025.0
19613,Ovie Ejaria,3.0,718,551559.0,4391.0,2026-01-01,,,
20520,Balliu,2.0,728,563848.0,3879.0,2026-01-01,1.0,17.0,2025.0
20696,Pape Gueye,3.0,533,14121775.0,-298646.0,2026-01-01,,,
20817,Koyalipou,4.0,539,575243.0,3404.0,2026-01-01,,,
20844,H. Hassan,4.0,718,1143928.0,-20292.0,2026-01-01,2.0,17.0,2025.0
21004,Agoumé,3.0,536,2884712.0,-5532.0,2026-01-01,2.0,17.0,2025.0
21087,B. Mendy,3.0,536,1105545.0,15006.0,2026-01-01,4.0,17.0,2025.0
21153,B. Santamaría,3.0,532,831067.0,-7256.0,2026-01-01,0.0,17.0,2025.0
21584,Ristić,2.0,538,550905.0,4418.0,2026-01-01,,,
21701,Rosier,2.0,727,3845052.0,16074.0,2026-01-01,7.0,17.0,2025.0
21997,Logan Costa,2.0,533,558030.0,4121.0,2026-01-01,,,
25375,T. Asano,4.0,798,562008.0,3955.0,2026-01-01,1.0,17.0,2025.0
26302,Maffeo,2.0,798,2130400.0,-29344.0,2026-01-01,4.0,17.0,2025.0
26315,Nico González,3.0,530,15698705.0,-411471.0,2026-01-01,2.0,17.0,2025.0
30399,D. Hancko,2.0,530,31009385.0,34132.0,2026-01-01,7.0,17.0,2025.0
30510,Berenguer,4.0,531,26631801.0,424898.0,2026-01-01,10.0,17.0,2025.0
30543,G. Raspadori,4.0,530,673599.0,-694.0,2026-01-01,8.0,17.0,2025.0
30765,I. Radu,1.0,538,10367177.0,128678.0,2026-01-01,11.0,17.0,2025.0
30924,Kumbulla,2.0,798,568689.0,3677.0,2026-01-01,2.0,17.0,2025.0
30927,S. Colombatto,3.0,718,588498.0,2851.0,2026-01-01,5.0,17.0,2025.0
31406,Sadiq,4.0,548,588151.0,2866.0,2026-01-01,0.0,17.0,2025.0
32862,Take Kubo,3.0,548,21394845.0,313861.0,2026-01-01,15.0,17.0,2025.0
37938,Becker,4.0,727,582682.0,3094.0,2026-01-01,0.0,17.0,2025.0
38699,L. Ilić,3.0,718,565144.0,3825.0,2026-01-01,2.0,17.0,2025.0
39121,Ejuke,4.0,536,687818.0,-1287.0,2026-01-01,,,
41157,Almeida,3.0,532,952500.0,3284.0,2026-01-01,5.0,17.0,2025.0
41208,Fábio Cardoso,2.0,536,584993.0,2997.0,2026-01-01,0.0,17.0,2025.0
41412,Maras,2.0,542,554198.0,4281.0,2026-01-01,,,
41552,Pathé Ciss,3.0,728,3839556.0,-85061.0,2026-01-01,,,
41970,David Carmo,2.0,718,1285187.0,-23129.0,2026-01-01,,,
41976,Neyou,3.0,546,593042.0,2662.0,2026-01-01,0.0,17.0,2025.0
42642,Moldovan,1.0,718,556276.0,4194.0,2026-01-01,0.0,17.0,2025.0
46646,S. Herrera,1.0,727,15356747.0,-130990.0,2026-01-01,12.0,17.0,2025.0
46657,Nacho Vidal,2.0,718,581538.0,3141.0,2026-01-01,,,
46658,Rubén García,3.0,727,7141328.0,32584.0,2026-01-01,7.0,17.0,2025.0
46662,Moncayola,3.0,727,5831958.0,15864.0,2026-01-01,7.0,17.0,2025.0
46667,Kike Barja,4.0,727,554318.0,4276.0,2026-01-01,2.0,17.0,2025.0
46673,Aarón Escandell,1.0,718,28971942.0,-249337.0,2026-01-01,9.0,17.0,2025.0
46711,Aleix Febas,3.0,797,11566311.0,-17695.0,2026-01-01,6.0,17.0,2025.0
46733,Raíllo,2.0,798,7076290.0,71966.0,2026-01-01,8.0,17.0,2025.0
46738,Valjent,2.0,798,3592597.0,-36820.0,2026-01-01,3.0,17.0,2025.0
46742,Dani R.,3.0,798,567659.0,0.0,2026-01-01,,,
46746,Budimir,4.0,727,17579241.0,233286.0,2026-01-01,16.0,17.0,2025.0
46751,Abdón,4.0,798,555360.0,4232.0,2026-01-01,0.0,17.0,2025.0
46759,Espino,2.0,728,558225.0,4113.0,2026-01-01,0.0,17.0,2025.0
46790,Víctor García,2.0,539,555397.0,4231.0,2026-01-01,3.0,17.0,2025.0
46795,Domingos Duarte,2.0,546,1827846.0,-26860.0,2026-01-01,0.0,17.0,2025.0
46799,Edu Expósito,3.0,540,65996233.0,350206.0,2026-01-01,6.0,17.0,2025.0
46813,Abqar,2.0,546,1035759.0,-15784.0,2026-01-01,,,
46860,Javi Muñoz,3.0,546,569089.0,3660.0,2026-01-01,3.0,17.0,2025.0
46887,Pedro Díaz,3.0,728,591952.0,2707.0,2026-01-01,0.0,17.0,2025.0
46933,Rioja,3.0,532,11493745.0,-151925.0,2026-01-01,5.0,17.0,2025.0
46941,Unai Elgezabal,2.0,539,559977.0,4040.0,2026-01-01,,,
46966,Dani Calvo,2.0,718,575393.0,3397.0,2026-01-01,0.0,17.0,2025.0
46967,Juan Cruz,2.0,727,645800.0,464.0,2026-01-01,2.0,17.0,2025.0
46973,Josan,3.0,797,557502.0,4143.0,2026-01-01,6.0,17.0,2025.0
46987,Raúl Fernández,1.0,542,551530.0,4392.0,2026-01-01,0.0,17.0,2025.0
46990,Valles,1.0,543,3344528.0,-10632.0,2026-01-01,11.0,17.0,2025.0
47007,De Galarreta,3.0,531,9052492.0,-120030.0,2026-01-01,0.0,17.0,2025.0
47013,Rafa Mir,4.0,797,16217242.0,-103752.0,2026-01-01,5.0,17.0,2025.0
47085,Luis Milla,3.0,546,114778482.0,301002.0,2026-01-01,1.0,17.0,2025.0
47109,Ó. Valentín,3.0,728,964797.0,1785.0,2026-01-01,6.0,17.0,2025.0
47119,Aitor Ruibal,2.0,543,825655.0,17413.0,2026-01-01,17.0,17.0,2025.0
47153,Juan Carlos,1.0,547,556513.0,4184.0,2026-01-01,,,
